,02_1,02_2,03_1,05_1,05_2,08_1,08_2,09_1,11_1,11_2
75,54.0,51.0,40.0,175.0,219.0,50.0,72.0,69.0,129.0,119.0
76,52.0,63.0,37.0,180.0,206.0,53.0,75.0,72.0,107.0,111.0
77,62.0,63.0,26.0,162.0,196.0,54.0,79.0,85.0,106.0,101.0
78,43.0,62.0,34.0,181.0,226.0,36.0,61.0,52.0,101.0,83.0
79,44.0,53.0,25.0,187.0,224.0,34.0,44.0,34.0,110.0,90.0
80,58.0,66.0,20.0,119.0,159.0,29.0,55.0,27.0,109.0,81.0
81,46.0,47.0,22.0,115.0,116.0,36.0,42.0,24.0,92.0,80.0
82,44.0,51.0,21.0,124.0,138.0,41.0,53.0,29.0,122.0,103.0
83,42.0,44.0,16.0,110.0,117.0,38.0,45.0,19.0,87.0,69.0
84,42.0,42.0,26.0,121.0,123.0,32.0,50.0,21.0,99.0,73.0
85,34.0,56.0,20.0,101.0,98.0,33.0,44.0,21.0,99.0,76.0
86,38.0,45.0,22.0,105.0,107.0,32.0,52.0,31.0,101.0,92.0
87,42.0,48.0,17.0,104.0,99.0,31.0,47.0,38.0,92.0,66.0
88,45.0,46.0,22.0,105.0,112.0,36.0,42.0,28.0,113.0,81.0
89,52.0,47.0,25.0,116.0,110.0,28.0,54.0,40.0,105.0,75.0
90,46.0,56.0,17.0,103.0,91.0,37.0,51.0,22.0,105.0,84.0
91,48.0,60.0,22.0,118.0,91.0,31.0,46.0,39.0,101.0,99.0
92,42.0,36.0,21.0,118.0,102.0,45.0,56.0,30.0,106.0,96.0
93,43.0,48.0,28.0,113.0,96.0,39.0,53.0,31.0,110.0,98.0
94,52.0,63.0,27.0,99.0,97.0,34.0,56.0,22.0,111.0,88.0
95,49.0,47.0,18.0,119.0,108.0,30.0,61.0,38.0,116.0,108.0
96,45.0,53.0,24.0,117.0,106.0,35.0,56.0,38.0,104.0,110.0
97,38.0,41.0,23.0,110.0,95.0,37.0,63.0,42.0,87.0,86.0
98,50.0,61.0,22.0,113.0,111.0,26.0,59.0,18.0,109.0,97.0
99,67.0,51.0,18.0,115.0,109.0,37.0,54.0,50.0,109.0,102.0
100,60.0,63.0,36.0,118.0,103.0,39.0,54.0,39.0,114.0,110.0
101,61.0,61.0,48.0,126.0,125.0,37.0,51.0,38.0,122.0,125.0
102,58.0,66.0,51.0,111.0,111.0,41.0,63.0,24.0,118.0,130.0
103,45.0,54.0,26.0,134.0,139.0,42.0,60.0,31.0,128.0,119.0
104,53.0,50.0,26.0,127.0,140.0,39.0,64.0,48.0,108.0,110.0
105,64.0,59.0,24.0,137.0,133.0,39.0,63.0,42.0,125.0,125.0
106,58.0,61.0,37.0,134.0,118.0,46.0,79.0,41.0,141.0,160.0
107,47.0,68.0,33.0,134.0,113.0,39.0,73.0,43.0,142.0,154.0
108,55.0,66.0,37.0,131.0,128.0,32.0,59.0,23.0,153.0,177.0
109,53.0,65.0,41.0,143.0,145.0,38.0,56.0,28.0,168.0,196.0
110,62.0,62.0,49.0,152.0,156.0,44.0,67.0,35.0,172.0,194.0
111,45.0,60.0,51.0,141.0,147.0,59.0,72.0,39.0,179.0,190.0
112,63.0,71.0,44.0,130.0,135.0,36.0,55.0,24.0,185.0,203.0
113,67.0,73.0,44.0,135.0,134.0,38.0,66.0,41.0,176.0,206.0
114,60.0,78.0,44.0,129.0,127.0,53.0,73.0,38.0,175.0,197.0
115,43.0,56.0,50.0,109.0,91.0,53.0,77.0,39.0,160.0,181.0
116,41.0,47.0,35.0,120.0,94.0,32.0,53.0,34.0,196.0,223.0
117,50.0,56.0,27.0,104.0,87.0,30.0,52.0,25.0,168.0,185.0
118,55.0,45.0,27.0,94.0,94.0,27.0,46.0,21.0,140.0,148.0
119,39.0,28.0,26.0,94.0,86.0,25.0,38.0,16.0,137.0,132.0
120,26.0,46.0,27.0,88.0,77.0,29.0,41.0,17.0,109.0,104.0
121,40.0,37.0,26.0,95.0,79.0,15.0,37.0,16.0,100.0,82.0
122,31.0,24.0,18.0,82.0,71.0,18.0,31.0,18.0,78.0,73.0
123,39.0,39.0,11.0,69.0,50.0,16.0,30.0,13.0,64.0,53.0
124,32.0,28.0,11.0,60.0,39.0,12.0,31.0,8.0,74.0,75.0
125,20.0,22.0,9.0,65.0,44.0,14.0,27.0,14.0,72.0,54.0
126,24.0,29.0,16.0,58.0,33.0,18.0,27.0,7.0,63.0,45.0
127,27.0,35.0,9.0,59.0,37.0,20.0,31.0,9.0,53.0,35.0
128,20.0,20.0,11.0,63.0,36.0,17.0,26.0,10.0,60.0,44.0
129,28.0,21.0,6.0,55.0,32.0,19.0,20.0,12.0,55.0,42.0
130,19.0,20.0,10.0,58.0,27.0,11.0,24.0,6.0,73.0,48.0
131,22.0,18.0,10.0,60.0,31.0,22.0,40.0,6.0,52.0,40.0
132,13.0,22.0,11.0,54.0,27.0,11.0,23.0,10.0,57.0,45.0
133,29.0,18.0,4.0,44.0,24.0,10.0,15.0,9.0,52.0,26.0
134,14.0,21.0,16.0,39.0,18.0,7.0,15.0,7.0,45.0,26.0
135,18.0,15.0,5.0,38.0,15.0,10.0,20.0,2.0,51.0,27.0
136,21.0,15.0,9.0,34.0,21.0,8.0,15.0,4.0,39.0,28.0
137,16.0,19.0,6.0,22.0,8.0,3.0,11.0,13.0,42.0,14.0
138,7.0,6.0,4.0,19.0,3.0,3.0,9.0,1.0,21.0,10.0
139,13.0,12.0,4.0,24.0,5.0,4.0,12.0,5.0,26.0,7.0
140,10.0,6.0,1.0,11.0,2.0,5.0,9.0,0.0,17.0,5.0
141,2.0,6.0,1.0,7.0,2.0,5.0,8.0,0.0,18.0,5.0
142,6.0,4.0,0.0,5.0,0.0,5.0,6.0,2.0,8.0,2.0
143,3.0,3.0,1.0,7.0,0.0,1.0,6.0,0.0,4.0,2.0
144,3.0,6.0,1.0,6.0,1.0,0.0,6.0,1.0,6.0,2.0
145,5.0,5.0,1.0,4.0,0.0,3.0,2.0,0.0,5.0,2.0
146,0.0,3.0,0.0,3.0,1.0,1.0,3.0,0.0,4.0,1.0
147,2.0,2.0,0.0,3.0,3.0,3.0,3.0,1.0,2.0,0.0
148,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,0.0
149,2.0,2.0,1.0,4.0,1.0,1.0,3.0,1.0,5.0,2.0
150,2.0,5.0,0.0,1.0,0.0,4.0,3.0,0.0,2.0,1.0
151,2.0,4.0,1.0,5.0,1.0,1.0,2.0,0.0,5.0,3.0
152,1.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,2.0,0.0
153,1.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,2.0,2.0
154,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,5.0,6.0
155,3.0,1.0,0.0,5.0,1.0,2.0,4.0,0.0,5.0,1.0
156,2.0,1.0,0.0,8.0,1.0,0.0,1.0,2.0,3.0,0.0
157,4.0,6.0,2.0,7.0,2.0,1.0,3.0,2.0,2.0,3.0
158,0.0,4.0,2.0,10.0,5.0,1.0,4.0,0.0,6.0,0.0
159,3.0,4.0,0.0,14.0,1.0,1.0,4.0,1.0,4.0,0.0
160,4.0,7.0,0.0,18.0,6.0,0.0,6.0,2.0,7.0,0.0
161,5.0,4.0,2.0,29.0,7.0,2.0,6.0,4.0,28.0,1.0
162,9.0,5.0,0.0,35.0,25.0,0.0,5.0,1.0,21.0,3.0
163,14.0,11.0,2.0,50.0,39.0,4.0,8.0,3.0,28.0,4.0
164,14.0,10.0,2.0,82.0,62.0,7.0,11.0,11.0,59.0,14.0
165,20.0,25.0,5.0,107.0,114.0,8.0,19.0,7.0,70.0,25.0
166,17.0,19.0,4.0,124.0,155.0,14.0,23.0,13.0,64.0,34.0
167,31.0,21.0,8.0,168.0,184.0,19.0,25.0,12.0,78.0,47.0
168,33.0,31.0,13.0,154.0,192.0,20.0,20.0,17.0,78.0,62.0
