,22,51,52,82,111,112
122,61.0,22.0,3.0,91.0,41.0,32.0
123,62.0,18.0,4.0,70.0,42.0,30.0
124,56.0,11.0,0.0,56.0,32.0,20.0
125,36.0,12.0,0.0,50.0,27.0,11.0
126,61.0,15.0,2.0,59.0,33.0,18.0
127,59.0,16.0,5.0,45.0,26.0,24.0
128,43.0,19.0,3.0,59.0,27.0,10.0
129,33.0,8.0,1.0,44.0,33.0,11.0
130,48.0,11.0,1.0,49.0,22.0,12.0
131,42.0,12.0,2.0,69.0,34.0,11.0
132,40.5,13.0,2.0,49.5,28.0,14.0
133,36.0,11.0,2.0,42.0,28.0,16.0
134,41.0,9.0,0.0,28.0,22.0,5.0
135,28.0,12.0,1.0,41.0,16.0,10.0
136,29.0,7.0,1.0,23.0,19.0,8.0
137,22.0,5.0,1.0,24.0,13.0,9.0
138,14.0,13.0,0.0,17.0,13.0,7.0
139,22.0,3.0,1.0,17.0,6.0,4.0
140,7.0,5.0,0.0,14.0,7.0,4.0
141,9.0,3.0,1.0,14.0,4.0,2.0
142,9.0,2.0,0.0,14.0,3.0,0.0
143,4.0,1.0,0.0,8.0,2.0,1.0
144,9.0,3.0,0.0,5.0,0.0,0.0
145,8.0,2.0,1.0,5.0,2.0,1.0
146,3.0,1.0,0.0,6.0,2.0,3.0
147,5.0,3.0,0.0,5.0,2.0,0.0
148,1.0,0.0,1.0,5.0,1.0,0.0
149,3.0,1.0,0.0,5.0,0.0,0.0
150,3.0,1.0,0.0,5.0,1.0,0.0
151,5.0,1.0,1.0,3.0,2.0,0.0
152,2.0,0.0,0.0,4.0,1.0,1.0
153,0.0,0.0,1.0,5.0,1.0,2.0
154,3.0,3.0,0.0,4.0,1.0,0.0
155,4.0,0.0,0.0,5.0,1.0,0.0
156,0.0,2.0,0.0,1.0,0.0,0.0
157,7.0,4.0,0.0,3.0,3.0,0.0
158,6.0,2.0,0.0,6.0,2.0,0.0
159,7.0,3.0,1.0,3.0,0.0,1.0
160,7.0,5.0,1.0,8.0,0.0,0.0
161,8.0,4.0,2.0,9.0,2.0,1.0
162,12.0,10.0,0.0,8.0,3.0,3.0
163,20.0,16.0,3.0,17.0,7.0,1.0
164,26.0,15.0,5.0,20.0,11.0,5.0
165,36.0,23.0,7.0,39.0,18.0,6.0
166,36.0,42.0,10.0,50.0,19.0,12.0
167,55.0,54.0,18.0,82.0,19.0,9.0
168,59.0,47.0,17.0,46.0,25.0,16.0
169,93.0,55.0,35.0,71.0,32.0,10.0
170,105.0,51.0,44.0,94.0,32.0,15.0
171,147.0,55.0,33.0,146.0,36.0,26.0
172,156.0,52.0,50.0,129.0,35.0,26.0
173,139.0,73.0,59.0,132.0,31.0,35.0
174,117.0,72.0,61.0,145.0,35.0,34.0
175,115.0,49.0,35.0,104.0,38.0,26.0
176,104.0,42.0,15.0,101.0,36.0,23.0
177,99.0,48.0,24.0,104.0,37.0,29.0
178,94.0,34.0,17.0,98.0,44.0,37.0
179,85.0,37.0,11.0,98.0,39.0,31.0
180,79.0,33.0,12.0,87.0,42.0,30.0
181,83.0,33.5,10.5,93.5,44.0,32.5
182,97.0,21.0,4.0,96.0,57.0,22.0
183,85.0,25.0,6.0,93.0,59.0,34.0
184,95.0,27.0,8.0,90.0,46.0,36.0
185,106.0,30.0,15.0,87.0,25.0,32.0
186,115.0,28.0,15.0,114.0,50.0,47.0
187,133.0,31.0,14.0,118.0,50.0,33.0
188,114.0,35.0,18.0,120.0,50.0,43.0
189,104.0,30.0,18.0,132.0,49.0,46.0
190,113.0,38.0,14.0,132.0,49.0,47.0
191,102.0,47.0,22.0,114.0,53.0,52.0
192,106.0,32.0,14.0,132.0,39.0,37.0
193,93.0,31.0,10.0,102.0,49.0,43.0
194,107.0,39.0,11.0,115.0,57.0,43.0
195,105.0,35.0,14.0,120.0,50.0,44.0
196,115.0,27.0,14.0,97.0,50.0,40.0
197,115.0,38.0,10.0,106.0,41.0,40.0
198,111.0,30.0,16.0,108.0,49.0,54.0
199,115.0,37.0,10.0,136.0,51.0,62.0
200,114.0,33.0,8.0,125.0,73.0,54.0
201,113.0,32.0,9.0,128.0,53.0,55.0
202,121.0,31.0,11.0,125.0,45.0,39.0
203,94.0,33.0,15.0,121.0,54.0,61.0
204,128.0,26.0,14.0,125.0,65.0,60.0
205,109.0,29.0,11.0,110.0,67.0,78.0
206,133.0,31.0,12.0,129.0,58.0,67.0
207,121.0,32.0,16.0,119.0,70.0,79.0
208,141.0,32.0,13.0,104.0,65.0,78.0
209,132.0,30.0,10.0,137.0,60.0,62.0
210,130.0,35.0,13.0,162.0,58.0,61.0
211,98.0,30.0,10.0,113.0,70.0,73.0
212,106.0,15.0,7.0,120.0,55.0,48.0
213,83.0,18.0,9.0,106.0,55.0,40.0
214,71.0,26.0,9.0,112.0,63.0,50.0
215,92.0,19.0,7.0,124.0,43.0,39.0
216,97.0,25.0,10.0,104.0,53.0,43.0
217,84.0,27.0,8.0,87.0,46.0,34.0
218,69.0,17.0,2.0,62.0,41.0,39.0
219,42.0,16.0,4.0,58.0,32.0,16.0
220,54.0,14.0,7.0,41.0,33.0,18.0
221,53.0,14.0,6.0,43.0,27.0,17.0
222,46.0,12.0,5.0,49.0,26.0,17.0
223,35.0,15.0,5.0,41.0,24.0,13.0
224,51.0,7.0,5.0,50.0,33.0,15.0
225,42.0,15.0,2.0,60.0,28.0,17.0
226,49.0,9.0,1.0,64.0,25.0,10.0
227,41.0,15.0,4.0,70.0,22.0,19.0
228,30.0,14.0,3.0,48.0,28.0,12.0
229,35.0,14.0,1.0,51.0,30.0,20.0
230,33.0,8.0,1.0,36.0,32.0,17.0
231,37.0,11.0,2.0,39.0,24.0,14.0
232,38.0,6.0,0.0,41.0,16.0,8.0
233,21.0,1.0,0.0,20.0,18.0,8.0
