81,101,11
88.0,74.0,34.0
71.0,56.0,29.0
62.0,46.0,26.0
50.0,37.5,20.0
45.0,31.0,18.0
38.0,25.0,15.0
34.0,20.0,11.0
29.0,18.0,10.0
27.0,16.0,8.0
23.0,13.0,7.0
20.0,11.0,6.0
19.0,9.0,7.0
26.5,9.0,5.0
27.0,9.0,6.0
17.0,10.0,6.0
16.0,11.0,4.0
17.0,11.0,4.0
19.0,11.0,7.0
25.0,14.0,9.0
27.0,19.0,10.0
42.0,23.0,15.0
57.0,35.0,27.0
80.0,55.0,28.0
109.0,85.0,33.0
168.0,128.5,43.5
223.5,238.0,72.0
307.0,362.0,84.0
361.0,413.0,100.0
426.0,390.0,112.0
492.0,424.0,130.0
541.5,436.0,147.0
561.0,443.0,178.0
549.5,444.0,197.0
547.0,443.0,219.0
571.0,460.0,202.5
547.0,471.0,206.0
520.0,455.5,186.5
502.0,455.0,175.5
468.0,458.0,173.0
451.0,461.0,175.0
445.0,445.0,162.0
447.0,430.0,168.0
451.0,440.5,168.0
450.5,442.0,174.0
466.0,416.0,177.5
474.0,404.0,181.0
484.0,414.0,184.0
482.0,424.5,188.0
494.0,405.0,189.5
508.0,412.0,197.5
503.0,433.0,198.0
486.0,437.0,193.0
491.5,421.0,195.0
500.0,417.0,192.0
493.0,436.0,203.0
502.0,427.0,205.5
513.5,406.0,208.0
535.0,417.5,219.0
541.0,427.0,230.5
548.0,414.0,240.0
569.0,399.0,223.0
588.0,407.0,232.0
580.5,419.0,245.0
582.5,426.0,243.0
583.0,410.5,244.0
574.0,424.0,247.5
556.0,425.0,243.0
550.0,432.0,253.0
555.0,421.0,261.0
564.0,427.0,273.0
541.0,428.0,268.0
528.5,438.0,262.0
490.0,450.5,242.0
481.5,457.0,227.0
424.0,464.0,200.0
392.5,466.0,187.0
370.0,454.0,168.0
366.0,429.5,159.0
355.0,385.0,144.0
330.5,330.0,136.0
326.0,275.0,125.0
312.5,248.0,116.0
292.0,229.0,114.0
286.0,222.0,114.0
295.5,211.0,118.0
303.0,212.0,115.0
287.5,210.0,107.0
282.5,205.0,98.0
294.0,210.0,103.0
298.5,209.0,105.0
281.5,194.0,95.0
276.0,178.0,87.0
293.0,162.0,76.0
232.0,151.0,65.0
172.0,127.0,56.0
132.0,105.0,48.0
106.0,86.0,40.0
89.0,69.0,35.0
74.0,58.0,31.0
63.0,46.0,26.0
55.0,38.0,25.0
46.0,33.0,19.0
41.0,26.0,17.0
35.0,22.0,13.0
34.0,19.0,12.0
28.5,17.0,10.0
27.0,14.0,10.0
26.0,13.0,11.0
31.0,11.0,11.0
33.0,11.5,10.0
23.0,12.0,10.0
20.0,14.0,11.0
21.0,13.0,13.0
23.0,14.0,17.0
28.0,16.0,14.0
29.0,22.5,14.0
44.0,24.0,20.0
58.0,33.0,33.0
76.0,56.0,27.0
94.0,81.0,31.0
146.5,119.0,41.0
190.0,226.0,66.0
249.0,329.0,81.0
283.0,358.0,90.0
342.0,313.0,102.5
412.0,366.0,114.0
485.0,409.0,134.0
512.0,432.0,163.0
515.0,428.0,176.0
520.0,436.0,194.0
552.0,454.0,186.0
530.5,458.0,194.0
503.0,451.0,176.0
486.0,436.5,164.5
476.5,449.0,160.0
462.0,448.5,167.5
457.0,415.5,157.0
481.0,407.0,161.0
471.5,419.0,167.0
483.5,437.0,177.0
491.0,411.0,177.5
501.0,409.5,180.5
512.0,421.5,185.0
505.0,429.0,190.0
521.5,418.0,191.0
534.0,424.0,197.0
526.0,437.5,192.0
515.5,435.5,195.0
515.5,430.0,189.0
523.0,427.0,196.0
525.0,443.5,197.0
516.0,443.0,204.0
537.5,425.0,203.5
552.0,426.5,222.0
553.0,438.0,225.5
563.0,426.0,236.0
573.0,423.0,227.0
576.0,420.0,219.0
571.5,433.0,226.0
577.0,439.0,228.0
574.0,424.0,227.5
567.5,425.0,225.0
543.0,432.0,223.0
529.5,435.0,226.0
548.0,426.0,234.0
566.0,435.0,241.0
548.5,441.5,232.0
517.0,449.0,226.0
486.5,450.5,209.0
496.0,456.0,193.0
432.0,450.0,178.0
396.0,462.0,163.0
375.0,441.0,145.0
362.0,419.5,137.0
336.5,372.0,129.5
323.0,339.0,117.0
308.5,292.0,109.5
296.5,274.0,101.0
278.5,252.0,97.0
266.0,236.0,94.0
266.0,226.0,91.0
261.0,224.0,89.0
253.0,217.0,89.0
253.0,208.5,87.0
269.0,205.0,88.5
288.0,204.0,94.0
295.0,198.0,94.5
309.0,188.0,93.0
355.0,185.0,87.0
304.0,174.0,84.5
