21,51,71,111,651,671,701
7.0,14.0,15.0,41.0,21.0,8.0,38.0
5.0,12.0,11.0,29.0,16.0,7.0,27.0
4.0,10.0,10.0,22.5,14.0,6.0,21.0
4.0,8.0,7.0,16.0,11.0,4.0,15.0
4.0,6.0,6.0,13.5,9.0,4.0,12.0
3.0,5.0,6.0,11.0,7.0,4.0,11.0
2.0,4.0,5.0,9.0,7.0,3.0,9.0
2.0,4.0,4.0,8.0,5.0,3.0,8.0
2.0,3.0,4.0,7.0,5.0,3.0,6.0
2.0,3.0,4.0,5.0,4.0,2.0,6.0
1.0,3.0,3.0,5.0,4.0,2.0,5.0
1.0,2.0,3.0,5.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0,3.0,2.0,4.0
1.0,2.0,3.0,4.0,4.0,1.0,4.0
1.0,3.0,3.0,4.0,4.0,1.0,3.0
1.0,4.0,2.0,3.0,6.0,1.0,4.0
1.0,4.0,3.0,4.0,6.0,1.0,3.0
2.0,6.0,4.0,4.0,10.0,1.0,4.0
3.0,10.0,4.0,5.0,13.0,2.0,5.0
4.0,12.0,7.0,6.0,18.0,3.0,6.0
4.0,17.5,9.0,7.0,25.0,3.0,6.0
5.0,27.0,12.0,11.0,34.0,3.0,11.0
7.0,39.5,18.0,16.0,52.0,4.0,15.0
9.0,63.0,28.5,26.0,85.5,6.0,23.0
12.0,97.0,36.0,44.0,122.0,8.0,41.0
19.0,144.0,46.0,77.0,172.0,13.0,70.0
24.0,197.0,52.0,94.0,230.0,14.0,87.0
30.0,239.0,67.0,105.0,283.0,18.0,101.0
32.0,266.5,77.0,141.0,316.0,24.0,138.5
41.0,306.0,91.5,174.0,361.0,36.0,177.5
51.0,324.0,92.5,241.0,376.5,55.0,258.0
59.0,312.0,99.0,234.0,360.0,57.0,265.0
69.0,303.5,110.5,229.0,361.0,71.0,265.0
56.5,305.5,119.0,215.0,370.0,63.0,232.0
61.0,310.5,109.0,201.0,370.0,46.0,212.5
55.0,285.0,98.0,175.0,337.5,42.0,182.0
51.0,240.5,88.5,175.0,278.0,41.0,173.0
48.0,229.0,87.0,176.0,269.0,41.0,179.5
49.0,224.0,87.0,190.0,254.0,43.0,193.0
45.0,193.0,86.0,177.0,226.0,41.0,183.0
44.0,196.0,87.0,184.0,225.0,41.0,189.0
46.0,194.0,88.0,186.0,227.0,43.0,193.0
46.0,188.0,88.0,201.0,220.0,44.0,203.5
45.0,179.0,89.0,192.0,212.0,46.0,198.0
46.0,178.0,87.0,194.0,213.0,43.5,201.0
49.0,185.0,90.0,200.0,217.0,45.0,208.0
49.0,186.0,90.5,208.0,219.0,46.0,212.0
47.0,187.0,93.0,216.0,219.0,48.0,223.0
50.0,190.0,94.0,225.0,223.5,49.0,235.0
48.0,195.0,95.0,231.5,228.5,51.0,235.0
50.0,198.0,90.0,240.0,226.0,52.0,245.0
48.0,190.0,94.0,232.0,221.0,52.0,236.0
50.0,194.0,93.0,233.0,225.0,49.0,235.0
49.0,196.0,96.0,228.0,230.0,49.0,230.0
53.0,201.0,100.0,238.0,235.0,49.0,245.0
50.0,194.0,100.0,243.0,229.0,49.0,247.0
52.0,203.0,102.0,257.5,241.0,52.0,263.0
56.5,212.5,107.0,292.0,253.5,62.0,315.5
61.0,207.5,109.0,332.5,247.5,63.0,351.5
57.0,230.5,115.0,280.0,273.5,64.0,297.0
55.0,244.0,120.0,281.0,298.5,61.0,290.0
56.0,223.0,113.0,294.0,272.0,60.0,301.0
54.0,210.0,108.0,316.5,253.0,59.5,322.5
55.0,214.0,110.0,328.5,256.0,61.0,327.5
57.0,217.0,106.0,346.0,256.0,60.0,351.0
54.0,217.5,107.5,358.0,261.0,61.0,363.0
56.0,216.0,100.0,372.0,253.0,59.0,375.0
55.0,218.0,104.0,392.0,260.0,65.5,399.0
62.5,218.5,103.0,409.5,249.0,63.0,424.5
60.0,205.0,100.0,414.0,243.0,63.5,427.0
62.0,200.5,93.0,409.0,229.0,58.0,406.0
58.0,197.0,86.0,387.0,224.5,57.5,387.0
55.0,183.0,77.0,354.0,205.0,49.0,349.0
51.0,161.0,73.0,313.0,185.0,44.0,310.0
49.0,153.0,75.0,291.0,174.0,41.0,287.0
44.0,144.0,73.0,265.0,165.0,39.0,262.0
44.0,147.0,71.0,247.0,166.0,40.0,246.0
41.0,134.0,69.0,222.0,153.5,37.0,217.0
40.0,123.0,65.0,193.0,140.0,33.0,194.0
34.0,101.0,62.0,164.0,123.0,31.0,163.0
32.0,93.0,56.0,150.0,112.0,28.0,153.0
28.0,85.0,53.0,135.0,103.0,25.0,134.0
26.0,78.0,52.0,131.0,95.0,25.0,130.0
25.0,74.0,56.0,122.0,96.0,22.0,121.0
25.0,72.0,52.0,120.0,95.0,21.0,119.0
23.0,65.0,54.0,115.0,91.0,20.0,112.0
22.0,68.0,52.0,118.0,94.0,20.0,113.0
20.0,64.0,58.0,115.0,93.0,21.0,112.0
19.0,65.5,54.0,116.0,94.0,19.5,111.5
18.0,60.0,55.0,108.0,91.5,17.0,101.0
17.0,55.0,46.0,103.0,81.0,16.0,97.0
14.0,45.0,47.0,98.0,71.0,15.0,91.0
12.0,37.0,34.0,82.0,57.0,12.5,76.0
11.5,31.0,27.0,69.0,44.0,11.0,65.5
9.0,24.0,20.0,58.0,32.0,11.0,54.0
8.0,18.0,17.5,46.0,25.0,9.0,44.0
6.0,15.0,12.0,34.0,20.0,7.0,32.0
5.0,11.0,11.0,27.0,16.0,6.0,25.0
5.0,9.0,9.0,20.0,13.0,6.0,20.0
4.0,8.0,7.0,17.0,11.0,5.0,16.0
4.0,7.0,7.0,14.0,10.0,4.0,14.0
3.0,6.0,6.0,12.0,9.0,4.0,11.0
3.0,4.0,5.0,10.0,6.0,3.0,10.0
2.0,4.0,5.0,9.0,5.0,3.0,8.0
2.0,3.0,4.0,7.0,5.0,3.0,7.0
2.0,4.0,4.0,6.0,5.0,2.0,6.0
2.0,3.0,4.0,6.0,5.0,2.0,6.0
1.0,3.0,4.0,6.0,5.0,3.0,6.0
1.0,3.0,4.0,6.0,4.0,3.0,6.0
1.0,3.0,4.0,5.0,5.0,2.0,5.0
2.0,3.0,3.0,5.0,5.0,1.0,5.0
2.0,5.0,3.0,5.0,6.0,2.0,5.0
2.0,5.0,3.0,5.0,8.0,1.0,4.0
2.0,7.0,4.0,6.0,10.0,2.0,5.0
2.0,10.0,5.0,6.0,13.0,2.0,6.0
4.0,13.0,7.0,6.0,18.0,3.0,6.0
5.0,16.0,9.0,8.0,23.0,3.0,8.0
5.0,25.0,12.0,13.0,33.0,3.0,12.0
6.0,36.0,17.0,18.0,48.0,4.0,16.0
8.0,54.0,25.0,25.0,72.0,6.0,22.0
13.0,78.0,29.0,42.5,97.0,8.0,38.0
17.0,115.0,39.0,73.0,140.0,11.0,68.0
23.0,145.0,43.0,89.0,168.0,13.0,84.0
26.0,187.0,53.0,95.0,219.0,16.0,91.0
29.0,215.0,63.0,125.5,253.0,22.0,123.0
37.0,254.0,80.0,162.0,294.0,32.0,163.0
