21,41,71,111,681,121
52.0,8.0,40.0,5.5,0.5,2.0
40.0,7.0,33.0,4.0,0.5,2.0
33.0,5.0,26.0,3.0,0.0,1.0
28.0,4.0,22.0,2.0,0.0,1.0
22.0,4.0,19.0,1.0,0.0,0.0
18.5,3.0,18.0,1.0,0.0,0.0
15.0,2.0,15.0,1.0,0.0,0.0
12.5,2.0,14.0,1.0,0.0,0.0
12.0,2.0,13.0,1.0,0.0,1.0
10.0,1.0,13.0,1.0,0.0,0.0
8.0,1.0,11.0,0.0,0.0,0.0
8.0,1.0,11.0,0.5,0.0,0.0
7.0,1.0,20.0,0.0,0.0,0.0
7.0,1.0,18.0,0.0,0.0,0.0
7.0,1.0,10.0,0.0,0.0,0.0
9.0,1.0,8.5,0.0,0.0,0.0
7.0,1.0,7.0,0.0,0.0,0.0
8.0,2.0,7.0,0.0,0.0,0.0
11.0,2.0,10.0,0.0,0.0,0.0
15.0,3.0,12.0,1.0,0.0,0.0
18.0,5.5,20.0,1.0,0.0,1.0
25.0,6.0,25.0,2.0,1.0,1.0
39.0,10.0,41.5,4.0,0.0,1.0
59.0,15.0,55.5,5.0,1.0,1.0
80.0,19.0,85.0,5.0,1.0,2.0
148.0,28.0,103.0,6.0,2.0,3.0
223.0,48.0,143.5,11.0,2.0,5.0
251.0,60.0,176.0,16.0,4.0,7.0
242.0,69.0,205.0,16.0,4.5,11.0
264.0,88.0,236.5,25.0,7.5,14.0
284.0,102.5,269.5,38.0,6.5,16.0
301.0,123.0,284.0,50.0,8.0,19.5
304.0,133.0,292.0,57.0,14.0,25.0
307.0,140.0,286.0,63.5,15.0,32.0
304.0,134.5,283.0,71.0,18.5,34.0
308.0,139.5,282.0,69.0,17.0,30.5
299.0,133.5,274.0,65.0,12.5,25.0
296.0,114.0,256.0,66.5,10.5,21.0
300.0,103.0,234.5,68.0,13.5,19.0
321.0,97.0,229.0,66.5,10.5,20.0
306.0,95.0,211.0,62.5,13.0,17.0
300.0,97.0,215.0,63.0,8.0,17.0
315.0,92.5,211.5,64.0,10.0,16.0
324.5,98.0,208.0,66.0,9.0,17.0
306.0,95.0,205.0,63.0,7.0,16.0
296.0,94.0,212.5,64.0,10.0,16.0
304.5,96.0,210.0,64.0,7.0,16.0
306.0,96.0,215.0,68.0,9.0,17.0
305.0,98.0,218.0,71.0,9.0,17.0
310.0,101.0,222.0,71.0,12.0,18.0
311.0,101.0,218.0,68.0,12.0,16.0
325.5,98.0,213.0,67.0,9.5,18.0
309.5,97.0,221.0,63.0,16.0,17.0
314.0,97.0,220.0,63.0,12.0,18.0
317.0,95.0,219.0,66.0,11.5,16.0
