out,in
244.0,354.0
208.0,206.0
168.0,156.0
136.0,148.0
108.0,116.0
100.0,96.0
80.0,80.0
68.0,72.0
56.0,60.0
52.0,60.0
40.0,56.0
36.0,52.0
34.0,52.0
32.0,52.0
32.0,56.0
36.0,60.0
36.0,76.0
44.0,111.5
48.0,152.0
56.0,172.0
72.0,192.0
116.0,252.0
168.0,324.0
248.0,408.0
400.0,570.0
780.0,844.0
1228.0,1066.0
1376.0,1146.0
1430.0,1334.0
1694.0,1600.0
1848.0,1796.0
1852.0,1944.0
1886.0,1930.0
2052.0,2138.0
2062.0,2244.0
2056.0,2328.0
1912.0,2088.0
1914.0,1836.0
1888.0,1710.0
1816.0,1608.0
1656.0,1546.0
1632.0,1556.0
1648.0,1510.0
1594.0,1468.0
1464.0,1417.5
1484.0,1468.0
1508.0,1472.0
1532.0,1468.0
1470.0,1492.0
1532.0,1552.0
1594.0,1600.0
1632.0,1580.5
1562.0,1578.0
1622.0,1666.0
1624.0,1676.0
1644.0,1672.0
1616.0,1682.0
1676.0,1762.0
1714.0,1804.0
1708.0,1840.0
1648.0,1880.0
1746.0,2026.0
1840.0,2092.0
1842.0,2154.0
1824.0,2210.0
1916.0,2344.0
1956.0,2406.0
1950.0,2414.0
2004.0,2484.0
2092.0,2562.0
2068.0,2514.0
2084.0,2436.0
2056.0,2246.0
2048.0,2106.0
1972.0,1874.0
1940.0,1642.0
1792.0,1494.0
1694.0,1446.0
1500.0,1386.0
1360.0,1300.0
1118.0,1190.0
1052.0,1134.0
972.0,1056.0
908.0,1004.0
836.0,988.0
818.0,954.0
752.0,832.0
712.0,772.0
672.0,788.0
692.0,788.0
628.0,712.0
568.0,646.0
506.0,646.0
472.0,592.0
398.0,476.0
312.0,439.0
264.0,404.5
222.0,256.0
176.0,196.0
148.0,166.0
128.0,138.0
108.0,104.0
88.0,89.0
76.0,80.0
66.0,68.0
56.0,68.0
48.0,60.0
44.0,64.0
40.0,58.0
40.0,64.0
40.0,68.0
42.0,80.0
40.0,108.0
48.0,152.0
52.0,170.0
66.0,176.0
80.0,202.0
132.0,268.0
182.0,312.0
216.0,372.0
350.0,482.0
714.0,720.0
924.0,856.0
1098.0,904.0
1152.0,1050.0
1304.0,1330.0
1490.0,1454.0
1550.0,1592.0
1630.0,1638.0
1826.0,1886.0
1986.0,2036.0
1950.0,2140.0
1772.0,1904.0
1736.0,1708.0
1750.0,1668.0
1718.0,1682.0
1580.0,1600.0
1600.0,1626.0
1600.0,1580.0
1600.0,1578.0
1502.0,1568.0
1528.0,1600.0
1588.0,1642.0
1598.0,1630.0
1572.0,1656.0
1660.0,1734.0
1686.0,1784.0
1726.0,1764.0
1713.0,1762.0
1740.0,1836.0
1804.0,1838.0
1792.0,1828.0
1784.0,1842.0
1820.0,1914.0
1840.0,1958.0
1876.0,1998.0
1828.0,2042.0
1872.0,2124.0
1922.0,2192.0
1960.0,2190.0
1910.0,2238.0
1992.0,2308.0
1994.0,2300.0
1988.0,2286.0
1994.0,2304.0
2092.0,2364.5
2076.0,2294.0
2044.0,2218.0
1988.0,1992.0
1976.0,1918.0
1824.0,1680.0
1686.0,1474.0
1512.0,1370.0
1406.0,1318.0
1284.0,1238.0
1242.0,1144.0
1080.0,1038.0
1010.0,982.0
938.0,892.0
898.0,844.0
848.0,804.0
812.0,780.0
752.0,726.0
694.0,692.0
668.0,670.0
676.0,678.0
628.0,654.0
580.0,634.0
568.0,658.0
580.0,656.0
524.0,592.0
470.0,584.0
436.0,592.0
388.0,510.0
334.0,396.5
298.0,352.0
252.0,288.0
224.0,238.0
