out,in
2358.0,2582.0
2348.0,2652.0
2316.0,2720.0
2240.0,2640.0
2266.0,2564.0
2292.0,2560.0
2268.0,2598.0
2178.0,2496.0
2240.0,2480.0
2188.0,2452.0
2182.0,2478.0
2094.0,2380.0
2056.0,2402.0
1930.0,2304.0
1808.0,2196.5
1660.0,2036.0
1582.0,1930.0
1520.0,1826.0
1436.0,1802.0
1378.0,1684.0
1368.0,1650.0
1322.0,1592.0
1350.0,1592.0
1358.0,1544.0
1358.0,1532.0
1332.0,1512.0
1264.0,1512.0
1198.0,1444.0
1148.0,1396.0
1048.0,1290.0
972.0,1228.0
902.0,1136.0
814.0,1060.0
752.0,996.0
676.0,880.0
632.0,816.0
580.0,744.0
472.0,652.0
378.0,560.0
320.0,460.0
288.0,420.0
240.0,372.0
200.0,320.0
180.0,276.0
156.0,244.0
136.0,220.0
124.0,180.0
116.0,160.0
112.0,140.0
96.0,132.0
92.0,124.0
88.0,120.0
92.0,128.0
100.0,156.0
96.0,180.0
128.0,184.0
164.0,228.0
208.0,284.0
228.0,336.0
384.0,368.0
561.0,492.0
724.0,636.0
948.0,612.0
1508.0,703.0
1960.0,1208.0
2232.0,1828.0
2248.0,1920.0
2632.0,1880.0
2936.0,2228.0
2980.0,2892.0
2972.0,2820.0
2972.0,2644.0
3016.0,2648.0
2976.0,2744.0
2876.0,2648.0
2448.0,2300.0
2252.0,2236.0
2208.0,2200.0
2120.0,2188.0
2044.0,2044.0
2048.0,2052.0
2024.0,2104.0
1948.0,2120.0
1896.0,2008.0
1992.0,2072.0
1976.0,2112.0
1968.0,2140.0
1980.0,2108.0
2104.0,2208.0
2160.0,2276.0
2132.0,2284.0
2160.0,2248.0
2264.0,2344.0
2260.0,2420.0
2240.0,2472.0
2252.0,2400.0
2372.0,2524.0
2368.0,2604.0
2336.0,2684.0
2388.0,2664.0
2476.0,2804.0
2552.0,2940.0
2580.0,3072.0
2664.0,3056.0
2840.0,3252.0
2816.0,3264.0
2828.0,3436.0
2852.0,3440.0
2984.0,3524.0
2704.0,3500.0
2380.0,3540.0
2128.0,3476.0
2048.0,3360.0
1880.0,2992.0
1800.0,2636.0
1764.0,2468.0
1716.0,2340.0
1620.0,2104.0
1464.0,1916.0
1372.0,1752.0
1300.0,1688.0
1260.0,1509.0
1208.0,1440.0
1120.0,1328.0
1112.0,1300.0
1024.0,1224.0
960.0,1192.0
952.0,1084.0
940.0,1092.0
824.0,976.0
756.0,892.0
692.0,816.0
612.0,752.0
468.0,624.0
372.0,532.0
316.0,452.0
280.0,384.0
236.0,340.0
216.0,284.0
184.0,240.0
160.0,212.0
140.0,200.0
132.0,168.0
124.0,156.0
112.0,144.0
108.0,132.0
96.0,124.0
104.0,128.0
96.0,128.0
108.0,140.0
104.0,172.0
132.0,204.0
184.0,248.0
208.0,296.0
232.0,352.0
416.0,376.0
584.0,504.0
804.0,668.0
1032.0,688.0
1660.0,752.0
2192.0,1260.0
2504.0,1988.0
2480.0,2040.0
2724.0,2064.0
2988.0,2324.0
3076.0,3004.0
3084.0,2840.0
3044.0,2724.0
3112.0,2772.0
3048.0,2856.0
2972.0,2716.0
2636.0,2436.0
2432.0,2368.0
2364.0,2436.0
2216.0,2380.0
2124.0,2208.0
2152.0,2196.0
2108.0,2232.0
2014.0,2232.0
1980.0,2128.0
2048.0,2164.0
2040.0,2228.0
2008.0,2224.0
2032.0,2144.0
2132.0,2244.0
2196.0,2300.0
2172.0,2356.0
2212.0,2296.0
2336.0,2420.0
2312.0,2468.0
2296.0,2488.0
2292.0,2456.0
2424.0,2588.0
2420.0,2656.0
2416.0,2720.0
2432.0,2740.0
2564.0,2912.0
2608.0,3032.0
2668.0,3148.0
2736.0,3140.0
2868.0,3276.0
2880.0,3296.0
2876.0,3448.0
2892.0,3452.0
2988.0,3528.0
2780.0,3468.0
2524.0,3560.0
2232.0,3492.0
2148.0,3476.0
2004.0,3224.0
1876.0,2916.0
1800.0,2684.0
1764.0,2640.0
1664.0,2376.0
1540.0,2136.0
1468.0,1840.0
1393.0,1784.0
1292.0,1544.0
1232.0,1500.0
1236.0,1432.0
1188.0,1380.0
1100.0,1296.0
1044.0,1256.0
1012.0,1212.0
1064.0,1212.0
924.0,1112.0
816.0,1048.0
772.0,940.0
680.0,880.0
540.0,732.0
424.0,608.0
356.0,536.0
292.0,436.0
244.0,368.0
220.0,308.0
200.0,270.0
172.0,240.0
148.0,212.0
132.0,192.0
124.0,160.0
116.0,148.0
108.0,140.0
92.0,128.0
96.0,124.0
96.0,120.0
100.0,136.0
104.0,144.0
132.0,176.0
164.0,224.0
204.0,296.0
216.0,360.0
373.0,384.0
556.0,512.0
772.0,636.0
1028.0,636.0
1540.0,720.0
2092.0,1260.0
2452.0,1960.0
2352.0,2008.0
2612.0,1988.0
2868.0,2252.0
2980.0,2920.0
3004.0,2832.0
3008.0,2620.0
3052.0,2632.0
3004.0,2712.0
2816.0,2644.0
2500.0,2372.0
2444.0,2296.0
2392.0,2384.0
2304.0,2384.0
2192.0,2184.0
2196.0,2204.0
2176.0,2236.0
2076.0,2288.0
2048.0,2168.0
2140.0,2220.0
2132.0,2296.0
2152.0,2324.0
2192.0,2280.0
2292.0,2364.0
2368.0,2468.0
2388.0,2576.0
2388.0,2516.0
2476.0,2600.0
2480.0,2644.0
2452.0,2688.0
2436.0,2584.0
2492.0,2652.0
2500.0,2712.0
2480.0,2732.0
2468.0,2776.0
2604.0,2868.0
2656.0,2976.0
2716.0,3096.0
2784.0,3136.0
2872.0,3260.0
2864.0,3284.0
2868.0,3360.0
2836.0,3440.0
2940.0,3532.0
2732.0,3468.0
2476.0,3532.0
2256.0,3392.0
2192.0,3360.0
2080.0,3124.0
1912.0,2872.0
1844.0,2640.0
1812.0,2564.0
1736.0,2308.0
1580.0,2164.0
1528.0,1916.0
1440.0,1856.0
1364.0,1656.0
1296.0,1584.0
1256.0,1464.0
1212.0,1452.0
1124.0,1344.0
1080.0,1260.0
1056.0,1200.0
1090.0,1232.0
968.0,1196.0
884.0,1084.0
844.0,992.0
736.0,892.0
608.0,772.0
444.0,656.0
