62.0,330.5,89.0,468.5,47.5,460.0,85.0,480.5,459.0,511.0
56.0,309.0,86.5,468.0,49.0,437.0,85.0,485.0,432.0,509.0
55.0,284.0,80.0,460.0,45.0,405.0,81.0,477.0,393.0,495.0
52.0,273.0,77.0,454.5,41.0,388.5,83.0,465.0,379.5,481.0
47.0,250.0,67.0,448.0,36.0,359.0,75.0,460.0,349.0,469.0
40.0,208.0,63.0,431.0,32.0,297.5,61.0,439.5,286.0,439.0
39.0,190.0,61.0,405.0,32.0,271.0,57.0,414.0,259.0,407.0
35.0,178.0,60.0,367.5,30.0,254.0,55.0,373.0,244.0,370.5
34.0,179.0,58.0,346.0,28.0,248.0,49.0,352.5,237.0,351.0
30.0,162.5,61.0,299.0,24.5,230.0,47.0,307.0,219.5,308.0
28.0,152.0,55.0,250.0,23.0,214.0,44.0,256.0,203.0,257.0
26.0,137.0,52.0,205.5,20.0,193.0,39.0,210.0,185.0,220.0
25.0,127.0,51.0,183.0,17.0,181.5,38.0,189.0,175.0,198.0
23.0,116.0,45.0,164.0,17.0,165.5,35.0,170.0,161.0,182.0
22.0,112.0,44.0,155.0,16.0,161.5,35.0,160.0,154.0,173.0
21.0,109.0,44.0,147.0,16.0,160.0,35.0,150.0,156.0,162.0
21.0,110.0,42.0,146.0,15.0,158.0,32.0,150.0,154.0,162.5
20.0,102.5,40.0,141.0,13.0,146.0,29.0,145.5,141.5,158.0
20.5,106.0,39.0,141.0,14.0,147.0,27.0,145.0,144.0,156.0
18.0,109.0,40.0,143.0,13.0,150.0,28.0,146.0,148.0,158.0
18.0,107.0,38.0,143.0,11.0,148.0,26.0,145.0,144.0,155.0
18.0,101.0,34.0,136.0,10.0,134.5,23.0,137.0,132.0,145.0
16.0,96.0,32.0,127.0,10.0,130.0,21.0,129.0,127.0,137.0
14.0,83.0,36.0,116.0,9.0,112.0,18.0,119.0,110.0,132.0
12.0,68.0,27.0,105.0,6.0,90.0,17.0,105.5,86.0,111.0
11.0,53.0,22.0,87.0,4.0,71.0,14.0,87.0,68.0,92.0
10.0,40.0,16.0,70.0,3.0,55.0,11.0,72.0,51.0,75.0
8.0,34.0,14.0,56.0,3.0,45.0,9.0,57.0,42.5,60.0
7.0,26.0,12.0,42.0,2.0,35.0,7.0,43.0,32.0,45.0
6.0,20.0,10.0,32.0,2.0,28.0,6.0,33.0,25.0,35.0
5.5,17.5,8.0,26.0,1.0,22.0,5.0,27.0,20.0,27.0
5.0,15.0,7.0,22.0,1.0,19.0,4.0,22.0,17.0,23.0
5.0,12.0,6.0,18.0,1.0,15.0,3.0,18.0,14.0,19.0
5.0,11.0,6.0,15.0,1.0,14.0,3.0,16.0,12.0,16.0
4.0,9.0,5.0,13.0,1.0,11.0,3.0,14.0,10.0,15.0
4.0,8.0,5.0,11.0,1.0,11.0,2.0,11.0,9.0,11.0
4.0,7.0,4.0,8.0,1.0,9.0,1.0,9.0,8.0,9.0
4.0,6.0,4.0,8.0,1.0,9.0,2.0,8.0,8.0,8.5
4.0,5.0,3.0,7.0,1.0,8.0,2.0,8.0,7.0,8.0
3.0,5.0,4.0,7.0,1.0,8.0,2.0,8.0,7.0,9.0
3.0,6.0,5.0,8.0,1.0,9.0,2.0,8.0,8.0,9.0
3.0,6.0,3.0,7.0,0.0,9.0,2.0,7.0,8.0,7.0
3.0,6.5,4.0,8.0,0.0,9.0,2.0,9.0,8.0,8.0
3.0,9.0,4.0,7.0,0.0,14.0,5.0,7.0,13.0,8.0
3.0,11.0,4.0,9.0,1.0,15.0,4.0,10.0,14.0,9.0
2.0,14.0,4.0,9.0,1.0,20.0,5.0,10.0,18.0,9.0
2.0,17.0,4.0,13.0,1.0,24.0,6.0,14.0,21.0,12.0
2.0,23.5,6.0,14.0,1.0,37.0,10.0,15.0,34.0,14.0
2.0,29.0,8.0,20.0,1.0,43.0,12.0,21.0,41.0,19.0
3.0,39.0,11.0,31.0,2.0,63.0,18.0,31.0,59.5,30.0
4.0,57.0,14.0,39.0,3.0,87.0,21.0,38.5,84.0,37.0
4.0,85.0,19.0,50.0,5.0,129.0,31.0,50.5,124.0,51.0
5.0,118.0,19.0,97.0,7.0,169.5,38.0,96.0,167.0,88.0
8.0,161.0,26.0,164.0,11.0,222.0,50.0,159.0,219.0,147.0
11.0,193.0,29.0,188.0,14.0,268.0,57.5,184.0,261.0,169.5
13.0,243.5,37.0,180.5,17.0,336.0,72.0,182.0,323.0,179.0
16.0,289.5,41.0,232.0,21.0,400.0,78.0,232.0,389.5,233.0
20.0,321.0,50.0,295.0,26.0,438.5,88.0,296.0,428.0,297.0
25.5,341.5,56.0,362.0,34.0,467.0,93.0,364.0,457.5,370.5
40.0,360.5,64.0,355.5,43.0,486.0,94.0,358.0,486.0,363.5
47.0,372.0,69.5,373.0,48.0,494.5,91.0,381.0,495.0,386.0
40.0,368.0,82.0,402.0,56.0,491.0,91.0,405.0,489.0,409.0
45.0,353.0,73.0,405.0,47.5,465.0,88.0,414.0,457.0,412.0
41.0,325.5,64.0,356.5,42.0,431.0,82.5,361.0,427.0,364.0
42.0,278.0,63.5,324.0,38.0,384.0,79.0,330.0,372.0,333.0
40.0,264.0,64.0,308.0,38.0,368.0,76.0,317.0,354.0,317.5
44.0,260.0,67.0,308.0,39.0,358.0,75.0,313.5,344.0,317.0
39.0,247.0,66.0,277.0,36.0,339.0,74.0,289.0,327.0,292.5
42.0,242.5,67.0,282.0,37.0,341.5,73.0,288.0,327.5,292.5
43.0,242.5,71.0,284.0,38.0,336.5,72.0,293.0,319.0,303.0
46.0,241.0,72.0,305.0,37.0,335.0,71.0,315.0,318.0,320.0
46.0,240.5,73.0,287.0,37.5,333.0,71.0,295.5,318.0,307.0
45.5,243.0,73.0,292.5,37.5,336.0,71.0,303.5,326.0,314.0
47.0,245.0,75.0,297.0,38.0,347.0,75.0,305.5,332.5,315.0
49.0,251.0,77.0,312.0,41.0,351.0,74.0,326.5,335.0,336.0
50.0,260.5,81.0,308.0,41.0,364.5,78.5,319.0,349.0,331.5
47.0,271.0,81.5,326.0,41.0,379.0,79.0,333.0,366.0,350.0
47.0,268.0,81.0,327.0,40.0,374.0,80.0,337.5,362.0,348.0
48.0,260.0,81.0,343.0,39.0,366.0,79.0,355.0,355.0,364.0
47.0,261.0,81.0,326.0,40.0,364.5,79.0,337.0,352.0,347.5
46.0,263.0,82.0,327.0,37.0,372.0,81.0,337.0,360.0,351.0
47.0,267.0,83.0,328.0,39.0,373.0,79.0,339.0,360.0,352.0
49.0,268.5,84.0,340.0,37.0,372.0,77.0,347.5,361.0,362.0
47.0,276.0,87.5,337.0,45.0,383.0,79.0,348.0,372.0,365.0
48.0,276.5,88.0,357.0,43.0,390.0,81.0,364.0,379.0,383.0
58.0,294.0,91.0,369.0,44.0,406.5,83.0,384.5,396.5,406.5
61.0,303.5,88.0,380.0,44.0,415.0,83.0,393.0,407.0,420.0
56.0,308.0,92.0,356.0,42.0,421.0,85.0,365.5,412.0,387.0
55.0,329.0,89.5,368.0,44.0,443.0,81.0,377.0,431.0,394.0
53.0,314.5,95.0,370.5,49.0,428.0,81.0,380.5,422.5,400.0
55.0,308.0,92.0,393.0,45.0,420.0,79.0,401.0,414.0,422.0
53.0,311.0,88.0,391.0,45.0,428.0,82.0,405.5,419.0,423.0
52.0,302.0,84.0,401.0,42.0,414.0,80.0,414.0,407.0,434.0
50.0,298.0,85.0,404.0,40.0,409.0,79.0,414.0,406.0,438.0
52.0,295.0,84.0,413.5,40.0,405.5,81.0,425.5,400.5,445.0
57.0,315.0,86.0,417.0,45.0,434.0,85.0,430.0,430.0,453.0
57.0,326.0,85.0,439.0,44.0,448.0,83.0,453.5,444.5,471.0
53.0,297.5,81.0,439.0,46.0,415.0,82.0,452.5,408.5,470.5
50.5,278.0,76.5,433.0,42.0,395.5,82.5,442.0,385.0,456.5
48.0,272.0,73.0,433.0,37.0,385.0,82.0,439.0,379.0,451.0
44.0,245.0,73.0,421.0,34.0,352.0,76.5,427.0,344.5,438.0
38.0,208.5,65.5,388.5,31.0,299.0,61.0,397.5,284.5,399.5
37.0,182.0,64.0,359.0,28.0,261.0,55.0,364.0,253.0,366.0
33.0,168.0,62.0,328.0,26.0,239.0,52.0,334.0,230.0,328.5
30.0,158.0,60.0,303.0,22.0,223.0,46.0,311.5,211.5,311.0
29.0,149.0,58.0,268.0,21.0,214.5,44.0,276.0,202.0,276.0
26.0,142.0,55.0,229.0,21.0,200.0,40.0,237.5,191.0,239.0
25.0,130.0,51.0,198.0,19.0,181.0,36.0,204.0,172.0,208.0
23.0,119.0,48.0,180.0,16.0,168.0,33.0,185.0,160.0,190.0
20.0,111.5,47.0,158.0,15.0,154.5,30.0,163.0,145.0,170.5
19.0,110.0,44.0,144.0,14.0,154.0,28.0,148.5,146.0,156.5
19.0,102.5,42.0,135.0,14.0,147.5,27.0,138.5,140.5,143.5
17.0,101.0,40.0,130.0,12.0,141.0,26.0,134.0,134.0,145.0
18.0,98.0,41.0,131.0,11.0,137.0,25.0,134.0,129.5,141.0
18.0,101.0,40.0,120.0,11.0,138.0,25.0,124.0,132.0,132.0
17.0,105.0,42.0,120.0,11.0,145.0,25.0,124.0,139.0,132.0
19.0,109.0,43.0,125.0,10.0,150.0,25.0,127.0,146.0,138.0
18.0,117.0,41.0,123.0,10.0,154.0,25.0,124.0,149.0,135.5
17.0,107.0,43.0,117.5,11.0,143.0,23.0,119.0,138.0,132.0
16.5,100.0,46.5,114.0,10.0,138.0,22.0,118.0,134.0,137.5
15.0,95.0,39.0,110.0,7.0,128.0,20.0,112.0,123.0,126.0
14.0,78.0,32.0,100.0,6.0,104.0,17.0,101.5,99.0,115.0
13.0,68.0,28.0,93.0,5.0,91.5,16.0,95.0,87.5,103.0
11.0,61.0,26.0,82.5,4.0,80.0,15.0,83.0,77.0,89.0
10.0,49.0,22.0,72.0,3.0,66.0,12.0,72.0,63.0,78.0
9.0,40.0,20.0,59.0,3.0,54.0,11.0,60.0,51.0,66.0
9.0,35.0,18.0,53.0,3.0,47.0,9.0,53.0,44.0,57.0
9.0,31.0,17.0,42.0,2.0,42.0,8.0,45.0,37.0,49.0
9.0,27.0,14.0,36.0,2.0,36.0,6.0,38.0,33.0,42.0
8.0,22.0,15.0,32.0,2.0,30.0,6.0,32.0,27.0,35.0
8.0,19.0,13.0,26.0,1.0,25.5,5.0,27.0,23.0,31.0
8.0,17.0,12.0,22.5,1.0,23.0,5.0,24.0,20.0,27.0
7.0,16.0,10.0,19.0,1.0,20.0,4.0,20.0,18.0,23.0
7.0,14.0,9.0,16.0,1.0,18.0,3.0,18.0,17.0,19.0
7.0,12.0,8.5,15.0,1.0,16.0,3.0,17.0,14.0,18.0
6.0,11.0,9.0,14.0,1.0,15.0,3.0,15.0,13.0,17.0
6.0,11.0,7.0,13.0,1.0,15.5,3.0,14.0,13.0,16.0
5.0,10.0,6.0,12.0,1.0,14.0,3.0,13.0,12.0,14.0
5.0,10.0,6.0,15.0,1.0,15.0,4.0,16.0,13.0,15.0
5.0,11.0,6.0,11.0,1.0,18.0,4.0,12.0,15.0,13.0
5.0,12.0,5.0,10.0,1.0,17.0,4.0,11.0,15.0,12.0
4.0,12.0,5.0,11.0,1.0,19.0,5.0,12.0,17.0,12.0
4.0,15.0,5.0,14.0,1.0,21.0,6.0,14.0,18.0,14.0
4.0,17.0,6.0,13.0,1.0,25.0,6.0,14.0,23.0,13.0
3.0,18.0,6.0,15.0,1.0,27.0,6.0,15.0,23.0,15.0
3.0,18.0,5.0,19.0,1.0,28.0,8.0,20.0,24.0,17.0
4.0,21.0,7.0,24.0,1.0,32.0,9.0,26.0,29.0,21.0
3.0,25.0,9.0,24.0,1.0,41.0,10.5,25.0,37.0,25.0
3.0,31.0,9.0,35.0,2.0,48.0,12.0,36.0,43.0,32.0
5.0,42.0,12.0,51.0,3.0,60.0,12.0,52.0,55.0,48.0
5.0,49.0,13.0,60.0,3.0,69.0,14.0,62.0,64.0,55.0
5.0,57.0,14.0,53.0,5.0,80.0,17.0,54.0,74.5,52.0
6.0,62.0,16.0,56.0,7.0,91.0,18.0,57.0,84.0,61.0
6.0,78.0,18.5,65.0,8.0,110.0,25.0,67.0,107.0,70.0
9.0,97.0,21.0,83.0,10.0,139.0,32.0,84.0,135.0,89.0
9.0,105.0,23.0,82.0,13.0,151.5,34.0,84.0,145.0,87.0
11.0,119.0,24.0,111.0,12.0,170.5,39.0,110.0,169.0,112.0
13.0,144.0,29.0,137.0,17.0,208.0,47.5,141.0,201.0,142.5
17.0,154.0,32.0,164.0,19.0,216.0,49.0,168.0,213.0,169.0
18.0,158.0,35.0,150.0,19.0,227.0,52.0,155.0,222.0,159.0
19.0,177.0,40.0,173.0,22.0,254.0,56.0,177.0,250.0,181.0
21.0,190.0,44.0,192.0,29.0,272.0,62.0,201.0,263.0,204.0
25.0,203.0,51.0,226.0,28.0,288.0,63.0,233.0,281.0,235.0
25.0,201.0,51.0,214.0,27.0,284.0,61.0,220.0,277.0,225.0
27.0,212.5,52.5,242.0,29.0,296.0,64.0,249.0,289.5,247.5
28.0,220.5,57.0,248.0,33.0,305.5,67.0,255.0,299.0,259.0
31.0,224.5,58.5,277.0,33.0,312.0,67.0,288.0,305.0,287.0
32.0,222.0,61.0,277.0,32.0,310.0,69.0,283.0,301.0,282.0
34.0,229.0,65.0,281.0,32.0,321.5,68.0,289.0,309.0,291.0
34.0,235.0,65.0,301.0,32.0,327.5,67.0,309.0,316.0,308.0
37.0,237.0,68.5,313.0,32.5,328.5,69.5,319.5,319.0,321.0
37.0,241.0,72.0,313.0,34.0,339.0,71.0,321.5,329.0,321.0
39.0,254.0,72.0,320.0,33.0,351.0,71.0,328.0,337.0,334.0
37.0,256.0,71.0,326.0,34.0,349.0,71.0,338.0,340.0,335.0
40.0,258.0,73.0,334.0,33.0,352.0,72.0,340.0,341.0,339.5
40.0,260.0,74.5,326.5,34.0,363.0,74.0,333.0,351.0,337.0
39.0,269.0,74.0,342.0,31.0,366.0,74.0,346.0,356.0,349.0
40.0,268.0,76.0,344.0,31.0,365.0,75.0,352.5,356.0,355.0
42.0,268.0,79.0,344.0,31.0,367.0,73.0,351.5,351.0,356.0
42.0,269.0,82.0,351.0,32.0,374.0,76.0,360.0,360.5,361.5
41.0,266.0,84.0,347.0,32.0,374.0,76.0,355.0,363.0,361.0
43.0,265.0,81.0,350.0,31.0,371.0,73.0,358.0,356.0,364.0
43.0,263.0,85.5,343.0,32.0,366.0,74.0,354.0,356.0,360.0
42.0,269.0,85.0,339.0,32.0,373.0,74.0,352.0,360.5,356.5
45.0,269.0,87.0,341.5,32.0,373.0,72.0,347.0,359.5,361.0
42.0,266.0,87.0,344.0,31.0,368.0,72.0,352.0,357.5,360.0
42.0,264.0,89.0,343.0,31.0,371.0,72.0,350.5,359.0,365.0
43.0,272.0,88.0,335.5,31.0,377.0,76.0,346.0,370.5,355.5
43.0,266.5,88.0,333.5,29.0,374.0,71.0,340.0,361.5,353.0
41.0,266.0,85.0,327.0,29.0,370.0,71.0,335.0,361.0,348.0
41.0,263.0,86.0,333.0,29.5,368.0,68.0,335.5,355.5,351.5
40.0,271.0,87.0,322.0,29.0,385.0,79.0,330.0,372.0,343.0
41.0,261.0,86.0,331.0,27.0,376.0,78.0,340.0,368.0,355.0
37.0,237.0,81.0,327.0,25.0,334.0,64.0,332.0,324.0,341.0
37.0,220.0,80.5,315.0,23.0,309.0,57.0,323.0,299.0,331.0
34.0,212.0,80.0,294.0,23.0,298.0,54.0,300.0,286.0,313.0
33.0,180.0,77.0,283.0,22.0,258.0,47.0,285.0,248.0,297.0
29.0,163.0,72.0,265.0,20.0,234.0,43.0,267.0,224.0,277.0
