out,in
150.0,276.0
128.0,154.0
103.0,120.0
84.0,106.0
60.0,96.0
56.0,80.0
48.0,60.0
40.0,60.0
32.0,52.0
28.0,48.0
24.0,44.0
24.0,40.0
20.0,40.0
20.0,44.0
20.0,44.0
24.0,52.0
24.0,62.0
32.0,80.0
36.0,116.0
48.0,124.0
64.0,120.0
112.0,172.0
170.0,192.0
196.0,220.0
314.0,328.0
582.0,516.0
880.0,622.0
934.0,720.0
992.0,851.0
1128.0,1014.0
1388.0,1068.0
1414.0,1220.0
1394.0,1258.0
1544.0,1352.0
1722.0,1466.0
1776.0,1552.0
1618.0,1432.0
1590.0,1356.0
1586.0,1244.0
1484.0,1168.5
1336.0,1092.0
1272.0,1132.0
1268.0,1080.0
1204.0,1072.0
1112.0,1008.0
1112.0,1032.0
1124.0,1034.0
1136.0,1056.0
1084.0,1060.0
1134.0,1116.0
1164.0,1116.0
1156.0,1129.5
1136.0,1152.0
1188.0,1180.0
1186.0,1170.0
1192.0,1178.5
1188.0,1194.0
1246.0,1226.0
1278.0,1244.0
1264.0,1284.0
1216.0,1310.0
1264.0,1454.0
1336.0,1432.0
1338.0,1510.0
1322.0,1540.0
1366.0,1644.0
1412.0,1628.0
1406.0,1652.0
1426.0,1672.0
1508.0,1709.0
1504.0,1660.0
1506.0,1626.0
1478.0,1540.0
1514.0,1481.5
1402.0,1316.0
1348.0,1152.0
1200.0,1028.0
1130.0,988.0
992.0,886.0
910.0,828.0
756.0,748.0
716.0,704.0
654.0,650.0
592.0,624.0
556.0,577.0
528.0,558.0
480.0,528.0
440.0,504.0
430.0,512.0
428.0,530.0
392.0,504.0
352.0,464.0
332.0,482.0
300.0,442.0
248.0,362.0
204.0,384.0
174.0,328.0
140.0,202.0
110.0,154.0
88.0,134.0
72.0,108.0
64.0,88.0
56.0,72.0
44.0,68.0
40.0,60.0
32.0,56.0
32.0,52.0
28.0,56.0
24.0,52.0
24.0,56.0
24.0,56.0
32.0,68.0
24.0,92.0
36.0,116.0
40.0,124.0
56.0,136.0
64.0,140.0
120.0,176.0
164.0,184.0
182.0,218.0
268.0,268.0
538.0,450.0
762.0,542.0
742.0,576.0
792.0,660.0
954.0,814.0
1134.0,916.0
1140.0,1008.0
1166.0,1044.0
1326.0,1196.0
1546.0,1298.0
1592.0,1368.0
1492.0,1288.0
1362.0,1208.0
1372.0,1168.0
1316.0,1184.0
1206.0,1130.0
1198.0,1144.0
1210.0,1100.0
1172.0,1112.0
1088.0,1076.0
1120.0,1128.0
1168.0,1128.0
1172.0,1148.0
1144.0,1144.0
1192.0,1220.0
1236.0,1232.0
1237.0,1215.0
1228.0,1224.0
1258.0,1280.0
1296.0,1284.0
1286.0,1296.0
1274.0,1300.0
1316.0,1348.0
1368.0,1332.0
1374.0,1384.0
1340.0,1416.0
1372.0,1514.0
1400.0,1510.0
1418.0,1534.0
1386.0,1544.0
1432.0,1600.0
1462.0,1568.0
