84.0,97.5,19.0,93.0
72.0,88.0,17.0,91.0
68.0,76.0,16.0,87.5
62.0,75.0,14.0,80.0
53.0,71.0,13.0,87.0
50.0,61.0,11.0,76.0
50.0,62.0,8.0,78.0
45.0,61.0,11.0,76.0
40.0,54.0,8.0,82.0
37.0,49.0,10.0,74.0
37.0,49.0,7.5,77.0
36.0,47.0,9.0,83.0
36.0,45.0,8.0,92.0
32.0,41.0,9.0,97.0
30.0,39.0,7.0,161.5
29.0,40.0,8.0,123.0
25.0,37.0,5.0,90.5
24.0,30.0,6.0,74.0
20.0,28.0,4.0,61.0
16.0,23.0,5.0,52.0
14.0,20.0,3.0,44.0
12.0,16.0,3.0,41.0
9.0,14.0,2.0,37.0
8.0,12.0,2.0,37.0
6.0,11.0,1.0,34.0
6.0,9.0,1.0,30.0
5.0,9.0,1.0,27.0
5.0,7.0,1.0,25.0
4.0,7.0,1.0,20.0
4.0,6.0,0.5,19.0
3.0,5.0,0.0,29.0
3.0,4.0,1.0,24.0
3.0,5.0,0.0,17.0
3.0,4.0,0.0,12.0
3.0,3.0,0.0,9.0
2.0,3.0,0.0,8.0
2.0,4.0,0.0,8.0
2.0,4.0,1.0,7.0
3.0,4.0,0.5,7.0
6.0,7.0,1.0,9.0
6.0,7.0,1.0,12.0
7.0,9.0,1.0,9.0
8.0,10.0,1.0,13.0
10.0,13.0,2.0,16.0
14.0,19.0,2.0,21.0
23.0,26.0,4.0,20.0
21.0,24.0,4.0,25.0
19.0,24.0,7.0,30.0
20.0,27.0,8.0,36.0
24.5,35.0,14.0,51.0
27.0,38.0,19.0,54.0
37.0,44.0,19.0,58.0
38.0,44.0,19.0,68.0
47.5,52.0,24.0,80.0
47.0,50.0,27.0,83.0
55.0,61.5,28.0,91.0
65.0,67.0,28.0,102.0
80.0,79.0,31.0,109.0
78.0,81.0,31.0,113.0
88.0,87.0,31.0,117.0
88.0,95.0,33.0,121.0
94.0,102.0,35.0,122.0
96.0,104.5,33.0,127.0
104.5,112.0,34.0,126.0
108.0,120.0,35.0,128.0
109.0,126.0,34.0,134.0
109.0,133.0,35.0,135.0
114.0,137.0,35.5,132.0
114.0,142.0,35.0,132.0
114.0,141.0,35.0,132.0
116.5,146.0,34.0,135.0
116.0,150.0,34.0,138.0
120.0,160.0,35.0,138.0
116.0,167.0,36.0,140.0
117.0,163.0,36.0,149.0
119.0,159.5,34.0,147.0
118.0,158.0,35.0,149.0
117.5,153.0,35.0,152.0
119.0,147.0,36.0,150.0
123.0,146.5,34.0,150.0
119.0,145.5,35.0,149.5
116.0,144.5,34.0,154.0
116.0,140.0,32.0,154.0
110.0,139.0,33.0,156.0
119.0,145.0,31.0,152.0
120.0,143.0,29.0,150.5
117.0,138.0,30.0,154.0
118.0,137.0,29.0,151.0
112.0,133.0,26.0,154.0
113.0,129.5,25.0,154.5
106.0,124.5,23.0,158.5
103.0,118.0,21.0,144.0
97.0,114.5,18.0,121.5
88.0,103.0,17.0,115.0
80.0,95.0,17.0,116.0
79.0,88.0,15.0,113.0
72.5,88.0,15.0,109.0
67.5,84.0,13.0,109.0
61.0,77.0,13.0,109.5
56.0,73.0,12.0,106.5
52.0,72.0,11.0,102.0
54.0,67.0,11.0,95.5
49.0,64.5,9.0,96.0
45.0,61.0,10.0,95.0
41.0,59.0,7.0,95.5
38.0,54.0,9.0,88.0
37.0,52.0,7.0,94.0
34.0,52.0,8.0,104.0
37.0,50.0,7.0,169.0
33.0,47.0,8.0,152.0
31.0,43.0,6.0,125.0
29.0,43.0,7.0,120.0
27.5,41.0,5.0,112.5
26.0,33.0,6.0,100.0
23.0,31.0,4.0,85.0
19.0,26.0,5.0,69.5
17.0,24.0,3.0,61.5
15.0,20.0,3.0,56.5
12.0,18.0,2.0,52.5
10.0,16.0,2.0,50.5
9.0,13.0,2.0,49.0
8.0,12.0,1.0,42.0
7.0,10.0,1.0,40.0
6.0,9.0,1.0,33.0
5.0,8.0,1.0,26.0
5.0,7.0,1.0,27.0
4.0,6.0,1.0,35.0
5.0,6.0,0.0,35.0
3.0,6.0,0.0,23.0
3.0,5.0,0.0,17.0
3.0,4.0,0.0,15.0
2.0,4.0,0.0,11.5
2.0,4.0,0.0,10.0
3.0,4.0,0.0,8.0
2.0,3.0,0.0,8.0
4.0,5.0,1.0,8.0
3.0,5.0,0.0,11.0
5.0,6.0,0.0,7.0
6.0,8.0,1.0,9.0
7.0,9.0,1.0,10.0
10.0,11.0,1.0,15.0
16.0,14.0,3.0,14.0
13.0,12.0,3.0,14.0
12.0,12.0,3.0,14.0
9.0,17.0,3.0,15.0
12.0,23.5,4.0,19.0
15.0,24.0,5.0,23.0
21.0,30.0,9.0,27.0
21.0,30.0,11.0,31.0
26.0,38.0,15.0,40.0
28.0,39.0,14.0,46.0
37.0,51.0,19.0,58.0
48.0,58.0,22.0,68.0
58.0,72.0,25.0,76.0
56.0,71.0,23.0,79.0
64.0,87.0,24.0,81.0
73.0,92.0,23.5,92.0
85.0,113.0,27.0,98.0
96.0,122.5,27.0,107.0
97.0,123.0,27.0,114.0
97.5,128.0,27.0,122.0
99.0,133.0,28.0,130.0
99.0,140.0,27.0,135.0
104.0,145.0,28.0,135.0
110.0,152.0,28.0,137.0
110.0,160.0,28.0,138.0
111.0,156.5,29.0,138.0
