location,type,starttime,endtime,coords
Den Haag C.-Gouda,onverwachte werkzaamheden,2016-06-20 13:13,2016-06-20 14:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,defecte trein,2016-06-08 09:21,2016-06-08 10:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C./Rotterdam C.,verstoring elders,2016-06-07 14:40,2016-06-07 17:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,defecte bovenleiding,2016-06-05 18:12,2016-06-05 00:25,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Den Haag HS,defecte bovenleiding,2016-06-05 17:55,2016-06-05 19:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,aanrijding met een persoon,2016-05-28 17:27,2016-05-28 20:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Amsterdam C./Den Haag C./Ede-Wageningen/Rhenen/Rotterdam C./Schiphol Airport,werkzaamheden,2016-05-28 10:14,2016-05-28 17:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,defecte trein,2016-05-26 09:13,2016-05-26 10:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Almere C./Hilversum,seinstoring,2016-05-25 19:16,2016-05-25 22:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag C.,defecte spoorbrug,2016-05-24 06:48,2016-05-24 08:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,defecte spoorbrug,2016-05-24 06:42,2016-05-24 06:47,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,defecte overweg,2016-05-18 08:19,2016-05-18 11:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,defecte trein,2016-05-12 08:43,2016-05-12 10:00,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Den Haag C.,seinstoring,2016-05-09 10:07,2016-05-09 12:00,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Den Haag HS,wisselstoring,2016-05-07 17:03,2016-05-07 18:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Den Haag HS,seinstoring,2016-05-06 15:14,2016-05-06 19:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Den Haag HS,seinstoring,2016-05-06 10:02,2016-05-06 14:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.,eerdere verstoring,2016-04-29 14:57,2016-04-29 15:57,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.,politieonderzoek,2016-04-21 18:34,2016-04-21 19:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,storing in een tunnel,2016-04-18 18:19,2016-04-18 22:01,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,uitloop van werkzaamheden,2016-04-15 05:53,2016-04-15 08:15,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
