location,type,starttime,endtime,coords
Den Haag HS-Den Haag C.,herstelwerkzaamheden,2015-08-10 16:31,2015-08-10 17:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Den Haag HS,wisselstoring,2015-08-10 12:36,2015-08-10 14:18,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Den Haag C.,wisselstoring,2015-08-04 10:33,2015-08-04 11:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Den Haag HS/Utrecht C.,wisselstoring,2015-08-04 06:36,2015-08-04 10:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Delft-Den Haag HS,brandmelding,2015-07-31 20:37,2015-07-31 23:26,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag C.,koperdiefstal,2015-07-30 05:28,2015-07-30 07:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,seinstoring,2015-07-28 09:33,2015-07-28 11:01,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Delft/Leiden C.,inzet van hulpdiensten,2015-07-25 15:40,2015-07-25 18:33,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Utrecht C.,wisselstoring,2015-07-24 05:43,2015-07-24 07:12,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Leiden C.,herstelwerkzaamheden,2015-07-21 21:58,2015-07-21 22:28,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C./Rotterdam C.,defecte trein,2015-07-21 14:52,2015-07-21 16:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,beschadigde bovenleiding,2015-07-17 16:50,2015-07-17 19:42,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,defecte trein,2015-07-17 15:03,2015-07-17 15:47,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Delft,herstelwerkzaamheden,2015-07-15 21:00,2015-07-15 21:46,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Delft,seinstoring,2015-07-13 21:39,2015-07-13 22:32,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,stroomstoring,2015-07-12 20:20,2015-07-12 00:30,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Dordrecht-Den Haag C.,storing in een tunnel,2015-07-10 06:55,2015-07-10 08:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,wisselstoring,2015-07-08 13:27,2015-07-08 15:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,defecte trein,2015-07-04 15:32,2015-07-04 16:07,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,brandmelding,2015-07-04 13:57,2015-07-04 15:00,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Utrecht C.,seinstoring,2015-07-03 17:15,2015-07-03 18:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Leiden C.,wisselstoring,2015-07-03 01:59,2015-07-03 07:14,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,aanrijding,2015-07-02 22:39,2015-07-02 23:53,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,de weersomstandigheden,2015-07-02 18:35,2015-07-02 21:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,inzet van hulpdiensten,2015-07-02 18:05,2015-07-02 18:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Utrecht C.,de weersomstandigheden,2015-07-02 15:22,2015-07-02 15:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,seinstoring,2015-07-02 10:56,2015-07-02 11:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,de weersomstandigheden,2015-07-02 10:21,2015-07-02 18:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,seinstoring,2015-07-01 06:02,2015-07-01 07:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,herstelwerkzaamheden,2015-06-29 01:03,2015-06-29 03:00,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,seinstoring,2015-06-25 12:05,2015-06-25 14:29,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,politieonderzoek,2015-06-25 06:12,2015-06-25 07:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,defecte bovenleiding,2015-06-22 09:51,2015-06-22 21:28,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Utrecht C.-Den Haag C.,herstelwerkzaamheden,2015-06-18 09:32,2015-06-18 10:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,sein-en wisselstoring,2015-06-12 15:37,2015-06-12 21:26,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C./Rotterdam C.,seinstoring,2015-06-11 07:30,2015-06-11 21:31,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Eindhoven,herstelwerkzaamheden,2015-06-05 16:15,2015-06-05 20:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,wisselstoring,2015-06-05 16:11,2015-06-05 19:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Utrecht C.,defect wissel,2015-06-02 04:46,2015-06-02 21:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,aanrijding met een persoon,2015-05-30 15:14,2015-05-30 17:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,technisch onderzoek,2015-05-29 07:26,2015-05-29 08:34,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,wisselstoring,2015-05-27 14:31,2015-05-27 16:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,inzet van hulpdiensten,2015-05-25 16:14,2015-05-25 16:51,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,wisselstoring,2015-05-24 11:48,2015-05-24 14:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Almere C./Hilversum,wisselstoring,2015-05-22 17:30,2015-05-22 00:41,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,wisselstoring,2015-05-21 19:47,2015-05-21 22:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,wisselstoring,2015-05-21 16:47,2015-05-21 19:21,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Leiden C.,wisselstoring,2015-05-20 12:21,2015-05-20 13:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag HS,defecte trein,2015-05-20 04:15,2015-05-20 04:55,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.,wisselstoring,2015-05-18 06:21,2015-05-18 07:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,seinstoring,2015-05-13 09:42,2015-05-13 11:18,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden C.-Den Haag C.,wisselstoring,2015-05-12 12:53,2015-05-12 14:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C./Rotterdam C.,persoon op het spoor,2015-05-07 20:37,2015-05-07 21:40,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Utrecht C.,defecte bovenleiding,2015-05-06 05:53,2015-05-06 13:10,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,defecte trein,2015-05-03 21:05,2015-05-03 22:16,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,herstelwerkzaamheden,2015-05-02 00:58,2015-05-02 06:18,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Leiden C.,herstelwerkzaamheden,2015-04-29 21:46,2015-04-29 22:20,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Leiden C.,herstelwerkzaamheden,2015-04-29 21:32,2015-04-29 21:35,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS,inzet van hulpdiensten,2015-04-27 21:17,2015-04-27 21:33,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Rotterdam C.,seinstoring,2015-04-22 19:33,2015-04-22 21:19,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,herstelwerkzaamheden,2015-04-20 10:21,2015-04-20 11:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,storing in een tunnel,2015-04-19 21:42,2015-04-19 23:37,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Rotterdam C.,seinstoring,2015-04-18 19:21,2015-04-18 20:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Dordrecht,beschadigde bovenleiding,2015-04-15 18:09,2015-04-15 22:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,defecte trein,2015-04-10 07:13,2015-04-10 07:48,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,,2015-04-08 17:03,2015-04-08 17:52,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Delft,brandmelding,2015-04-08 09:21,2015-04-08 10:35,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,seinstoring,2015-03-26 15:20,2015-03-26 17:15,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,defecte trein,2015-03-26 08:31,2015-03-26 10:07,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,persoon op het spoor,2015-03-25 19:45,2015-03-25 20:58,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,defecte bovenleiding,2015-03-25 09:23,2015-03-25 10:32,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Delft,herstelwerkzaamheden,2015-03-20 15:11,2015-03-20 16:02,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Gouda-Den Haag C.,defect spoor,2015-03-17 21:53,2015-03-17 00:34,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Utrecht C.,defect wissel,2015-03-17 20:27,2015-03-17 20:37,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Utrecht C.,defect wissel,2015-03-17 09:46,2015-03-17 09:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C.,defect wissel,2015-03-17 09:40,2015-03-17 09:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Utrecht C.,defect wissel,2015-03-17 08:23,2015-03-17 09:44,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C./Rotterdam C.,beschadigde bovenleiding,2015-03-12 11:24,2015-03-12 15:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,herstelwerkzaamheden,2015-03-11 01:23,2015-03-11 05:39,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Breda/Roosendaal,wisselstoring,2015-03-10 14:42,2015-03-10 16:02,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C.,versperring,2015-03-10 08:55,2015-03-10 09:48,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,sein-en overwegstoring,2015-03-09 17:25,2015-03-09 01:25,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden C.-Den Haag C./Den Haag HS,aanrijding met een persoon,2015-03-07 12:49,2015-03-07 15:49,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag C.,seinstoring,2015-03-05 11:20,2015-03-05 21:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C.,herstelwerkzaamheden,2015-03-04 20:02,2015-03-04 06:06,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
"Den Haag C.-Rotterdam C., Den Haag HS-Dordrecht",storing in een tunnel,2015-03-04 07:56,2015-03-04 12:13,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,herstelwerkzaamheden,2015-03-04 01:18,2015-03-04 05:43,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Gouda-Den Haag C.,aanrijding met een voertuig,2015-03-03 22:20,2015-03-03 01:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Delft,storing in een tunnel,2015-03-03 14:18,2015-03-03 16:10,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,storing in een tunnel,2015-03-02 18:11,2015-03-02 20:28,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Dordrecht,defecte trein,2015-03-02 16:38,2015-03-02 18:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,versperring,2015-03-01 18:23,2015-03-01 21:31,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Leiden C.-Den Haag C.,defecte trein,2015-03-01 11:48,2015-03-01 12:33,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag C.,wisselstoring,2015-02-26 13:06,2015-02-26 14:16,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Den Haag C./Rotterdam C.,inzet van hulpdiensten,2015-02-26 09:12,2015-02-26 09:59,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,seinstoring,2015-02-22 07:44,2015-02-22 11:46,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,wisselstoring,2015-02-13 05:18,2015-02-13 12:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Den Haag HS,wisselstoring,2015-02-12 14:36,2015-02-12 16:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,defecte trein,2015-02-04 13:02,2015-02-04 13:51,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,koperdiefstal,2015-02-04 10:01,2015-02-04 12:30,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Rotterdam C.,koperdiefstal,2015-02-04 07:26,2015-02-04 12:32,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Breda-Den Haag C.,eerdere verstoring,2015-02-02 13:58,2015-02-02 19:04,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Leiden C.-Den Haag C.,eerdere verstoring,2015-02-02 12:21,2015-02-02 18:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag HS,defecte trein,2015-01-31 22:05,2015-01-31 00:06,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,inzet van hulpdiensten,2015-01-31 12:49,2015-01-31 13:39,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Rotterdam C.-Den Haag HS,koperdiefstal,2015-01-31 05:54,2015-01-31 11:26,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.,persoon op het spoor,2015-01-30 17:53,2015-01-30 18:34,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Delft-Den Haag HS,herstelwerkzaamheden,2015-01-27 13:43,2015-01-27 05:04,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Gouda,defecte trein,2015-01-27 10:04,2015-01-27 11:35,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Gouda,gestrande trein,2015-01-27 08:08,2015-01-27 09:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag HS-Rotterdam C.,herstelwerkzaamheden,2015-01-16 11:37,2015-01-16 12:05,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Rotterdam C.,defecte trein,2015-01-13 08:42,2015-01-13 10:09,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Utrecht C.,wisselstoring,2015-01-13 06:53,2015-01-13 10:09,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Den Haag C.-Den Haag HS,herstelwerkzaamheden,2015-01-06 17:28,2015-01-06 18:05,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}, 'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag HS-Leiden C.,herstelwerkzaamheden,2015-01-06 17:28,2015-01-06 18:05,"{'Den Haag HS': {'latitude': 52.069722, 'longitude': 4.321667}}"
Den Haag C.-Leiden C.,politieonderzoek,2015-01-06 13:03,2015-01-06 13:45,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Alphen a/d Rijn/Den Haag C./Gouda/Rotterdam C.,seinstoring,2015-01-06 08:55,2015-01-06 10:17,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Utrecht C.-Alphen a/d Rijn/Den Haag C./Gouda/Rotterdam C.,defect wissel,2015-01-05 12:38,2015-01-05 15:34,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Gouda-Den Haag C.,beschadigde overweg,2015-01-03 08:05,2015-01-03 09:03,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
Rotterdam C.-Den Haag C.,wisselstoring,2015-01-02 19:07,2015-01-02 20:47,"{'Den Haag Centraal': {'latitude': 52.081667, 'longitude': 4.329167}}"
