60,0.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
61,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
62,0.0,1.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
63,0.0,2.0,6.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0
64,1.0,2.0,11.0,4.0,4.0,1.0,2.0,1.0,0.0,3.0,1.0
65,2.0,2.0,11.0,6.0,7.0,3.0,1.0,3.0,0.0,4.0,1.0
66,4.0,4.0,17.0,7.0,7.0,3.0,2.0,4.0,0.0,4.0,2.0
67,14.0,6.0,21.0,9.0,10.0,6.0,3.0,6.0,0.0,4.0,2.0
68,28.0,6.0,45.0,12.0,13.0,9.0,3.0,7.0,0.0,7.0,4.0
69,29.0,13.0,71.0,17.0,20.0,12.0,6.0,10.0,0.0,13.0,5.0
70,31.0,12.0,99.0,26.0,24.0,14.0,9.0,17.0,0.0,21.0,9.0
71,26.0,15.0,96.0,31.0,22.0,14.0,10.0,18.0,0.0,20.0,10.0
72,30.0,19.0,111.0,32.0,29.0,15.0,11.0,22.0,0.0,26.0,14.0
73,39.0,22.0,120.0,37.0,30.0,14.0,12.0,26.0,1.0,35.0,19.0
74,43.0,27.0,123.0,40.0,40.0,17.0,13.0,29.0,3.0,40.0,21.0
75,45.5,28.5,123.0,45.5,43.5,20.0,15.0,31.0,3.0,44.0,22.0
76,46.0,29.0,115.0,46.0,45.0,22.0,17.0,38.0,4.0,48.0,23.0
77,45.5,32.5,119.5,49.5,41.0,19.0,20.0,45.0,4.0,56.5,25.0
78,45.5,31.0,119.0,47.0,39.0,18.0,23.0,44.0,4.0,56.0,22.0
79,43.0,29.0,114.5,47.5,37.0,17.0,23.0,44.0,4.0,54.0,19.0
80,39.0,31.0,119.0,45.0,35.5,15.0,22.0,42.0,4.0,49.5,17.0
81,34.0,30.0,126.0,42.0,31.0,14.0,21.5,37.0,3.0,46.5,15.0
82,30.0,29.0,125.0,43.0,30.0,13.0,22.0,35.0,3.0,45.0,15.0
83,22.5,21.0,113.0,45.0,28.0,11.0,17.0,29.5,3.0,38.0,15.0
84,23.0,21.0,106.0,46.0,30.0,12.0,17.0,33.0,2.0,35.0,13.0
85,21.0,20.0,110.0,49.0,29.0,13.0,15.0,31.0,2.0,38.0,15.0
86,21.0,21.0,106.0,52.0,32.0,13.0,18.0,34.0,2.0,36.0,14.0
87,17.0,18.0,94.0,54.0,30.5,12.0,15.0,31.0,2.0,34.0,15.5
88,17.0,18.0,90.0,57.0,32.0,13.0,15.0,34.0,2.0,35.0,15.0
89,17.0,18.0,93.5,58.5,30.0,12.0,13.5,32.5,2.0,33.0,16.0
90,19.0,19.0,95.0,60.5,31.0,11.5,14.0,34.0,2.0,32.5,18.0
91,19.0,17.0,92.0,62.0,33.0,13.0,13.0,32.0,2.0,34.0,20.0
92,21.0,21.0,96.0,65.0,31.0,14.0,15.0,36.0,2.0,35.0,19.0
93,21.0,21.0,104.0,60.5,35.0,15.0,14.0,34.0,2.0,36.0,21.0
94,23.0,22.0,103.0,61.0,34.0,14.0,15.0,37.0,2.0,36.0,19.0
95,22.0,19.0,96.0,65.0,33.0,14.0,13.0,33.0,2.0,34.0,20.0
96,22.0,20.0,93.0,63.0,36.0,14.0,14.0,35.0,2.0,33.5,20.0
97,24.0,21.0,97.0,65.0,36.0,16.0,12.0,33.0,2.0,34.0,20.0
98,24.0,21.0,94.0,70.0,40.0,15.0,13.0,35.0,2.0,35.5,20.0
99,21.0,19.0,87.5,75.0,38.0,15.5,12.0,32.5,2.0,35.0,24.0
100,23.0,21.0,88.0,74.0,39.0,17.0,14.0,34.5,2.0,35.0,23.5
101,23.0,21.0,95.0,77.0,40.0,16.0,11.0,34.0,2.0,34.0,26.5
102,22.0,22.0,88.0,82.0,43.0,18.0,12.0,35.0,2.0,36.0,28.0
103,20.0,20.0,83.0,87.0,44.0,17.0,11.0,33.0,2.0,38.0,35.0
104,21.0,21.0,83.0,87.0,42.0,17.0,11.0,34.0,2.0,44.0,38.0
105,20.0,21.0,86.0,95.0,44.0,20.0,11.0,32.0,2.0,43.0,53.0
106,22.0,23.0,84.0,95.0,45.0,21.0,10.0,34.0,2.0,42.0,42.0
107,19.0,20.0,81.0,102.0,48.5,26.0,10.0,35.0,2.0,43.5,45.0
108,23.5,20.0,80.0,98.0,50.0,25.0,11.5,35.0,2.0,40.0,39.0
109,24.0,21.0,84.5,92.5,50.0,25.0,11.0,37.0,1.0,42.0,37.0
110,29.0,23.0,87.0,88.0,53.0,24.0,11.0,39.0,1.0,44.0,36.0
111,31.0,24.0,92.0,90.0,53.0,25.0,13.0,41.0,2.0,42.0,41.0
112,37.0,29.0,91.0,87.0,56.0,27.0,12.0,40.0,2.0,44.0,36.0
113,38.0,35.0,100.0,82.0,55.0,27.0,13.0,40.0,2.0,46.0,31.0
114,39.0,40.0,103.0,79.0,52.5,23.0,14.0,38.0,2.0,48.0,27.0
115,35.0,34.0,104.0,74.0,48.0,22.0,14.0,34.0,1.0,46.0,27.0
116,37.0,29.0,95.5,66.0,45.0,20.0,15.0,35.0,1.0,41.0,22.0
117,27.0,21.0,87.0,57.0,39.0,17.0,12.0,33.0,1.0,36.0,20.0
118,22.0,15.0,78.0,51.0,33.5,14.0,11.0,30.5,1.0,32.0,14.5
