,21,22,23,51,61,62,71,72,81,82,112,113
55,3.0,3.0,1.0,4.0,2.0,0.0,2.0,1.0,4.0,1.0,2.0,1.0
56,3.0,3.0,2.0,3.0,1.0,0.0,3.0,1.0,4.0,1.0,2.0,0.0
57,3.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0
58,3.0,3.0,1.0,3.0,2.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0
59,3.0,3.0,1.0,4.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,0.5
60,3.0,3.0,1.0,4.0,2.5,0.0,2.0,1.0,2.0,1.0,2.0,1.0
61,4.0,4.0,1.0,4.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0
62,6.0,4.0,2.0,6.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0
63,6.0,5.0,2.0,9.0,7.0,1.0,3.0,1.0,4.0,2.0,3.0,1.0
64,9.0,6.0,3.0,14.0,10.0,1.5,4.0,2.0,5.0,2.0,3.0,1.0
65,10.0,7.0,4.0,14.0,10.0,2.0,4.0,2.0,6.0,2.0,4.0,2.0
66,15.0,7.5,3.0,17.0,16.0,5.0,6.0,3.0,8.0,3.0,5.0,1.0
67,18.0,9.0,4.0,22.0,17.0,5.0,7.0,2.0,9.0,3.0,5.0,2.0
68,27.0,10.0,5.0,27.0,23.0,10.0,9.0,3.0,10.0,6.0,5.0,3.0
69,40.0,14.0,8.0,31.0,25.0,13.0,11.0,3.0,13.0,9.0,7.0,3.0
70,54.0,18.0,10.0,30.0,24.0,15.0,11.0,6.0,17.0,15.0,10.0,5.0
71,57.0,20.0,12.0,40.0,27.0,17.0,13.0,6.0,19.0,18.0,12.0,6.0
72,60.0,25.0,14.0,49.0,29.0,23.0,15.0,7.0,23.0,25.0,12.0,6.0
73,72.0,37.0,21.0,62.0,35.0,32.0,18.0,9.0,27.0,32.0,14.0,9.0
74,77.0,52.5,33.0,77.5,41.0,38.0,18.0,13.0,30.0,41.0,16.0,10.0
75,75.5,53.5,36.0,80.5,41.0,42.0,20.0,18.0,36.0,45.0,17.0,11.0
76,73.0,52.0,35.0,90.5,39.0,38.0,24.0,22.0,42.0,47.0,18.0,14.0
77,78.0,58.5,37.5,97.5,42.0,44.5,25.0,20.0,45.0,54.0,20.0,15.0
78,75.0,62.0,38.0,95.0,43.0,45.0,23.5,17.5,45.0,54.5,19.0,13.5
79,75.0,54.0,34.0,78.0,38.0,40.0,24.0,18.0,39.0,45.0,21.0,16.0
80,75.0,46.0,29.0,65.0,35.0,32.0,26.0,17.0,36.0,41.0,21.0,17.0
81,79.0,46.0,30.0,64.0,33.0,28.0,27.0,18.0,34.0,39.0,23.0,18.0
82,78.0,47.0,30.5,66.0,33.0,29.0,28.5,19.0,35.0,38.0,24.0,19.0
83,75.0,42.0,28.0,61.0,31.0,24.0,29.0,19.0,35.0,38.0,24.0,21.0
84,77.0,41.0,29.5,67.0,29.0,22.0,29.0,17.0,34.5,38.0,25.0,22.0
85,76.0,44.0,31.0,65.0,28.0,23.0,32.0,20.0,37.0,41.5,26.0,22.5
86,75.5,45.0,34.0,64.0,29.0,23.0,32.0,21.0,37.0,40.0,27.0,22.0
87,73.5,44.0,32.0,60.0,29.0,24.0,32.0,21.0,36.0,39.0,28.0,24.0
88,69.0,43.0,32.0,61.0,28.0,23.0,34.0,21.0,37.0,39.0,27.0,24.0
89,69.0,43.0,31.5,63.0,30.0,22.0,32.0,23.0,37.0,39.0,28.5,24.0
90,67.0,43.0,34.0,64.0,30.0,24.0,34.0,23.0,40.0,41.0,27.0,24.0
91,68.0,42.0,35.0,61.0,29.0,24.0,35.0,25.0,39.0,40.0,29.0,24.0
92,70.0,43.5,34.0,64.0,30.0,23.0,33.0,26.0,41.5,43.0,26.0,20.5
93,72.0,48.0,38.0,69.0,31.0,24.0,33.0,23.0,42.0,44.0,25.0,21.0
94,76.5,50.0,38.5,71.5,32.0,26.0,33.5,25.0,43.0,47.5,22.0,19.0
95,77.0,50.0,38.0,70.5,31.0,24.0,35.0,25.0,42.0,45.5,23.0,19.0
