,11,21,22,31,41,51,61,71,81,82,91,101,111,121,122
44,7.0,7.5,2.0,3.0,3.0,7.0,2.0,3.0,6.0,2.0,1.0,1.0,9.0,8.0,1.0
45,6.0,5.0,1.0,2.0,1.0,5.0,2.0,3.0,5.0,2.5,1.0,1.0,8.0,7.0,1.0
46,6.0,5.5,0.0,1.0,2.0,5.0,2.0,2.0,4.0,2.0,1.0,1.0,7.0,6.0,1.0
47,4.0,4.0,0.0,1.0,1.0,3.0,2.0,2.0,3.5,1.0,1.0,1.0,6.5,6.0,1.0
48,3.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,0.0
49,3.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,4.0,1.0
50,2.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,3.0,1.0,0.0,1.0,4.0,5.0,0.0
51,2.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,1.0
52,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0
53,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
54,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.5,2.0,1.0,0.0,0.0,3.0,2.0,0.0
55,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0
56,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0
57,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,0.0
58,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0
59,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0
60,3.0,3.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,2.0,4.0,0.0
61,3.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,5.0,0.0
62,4.0,4.0,0.0,1.0,1.0,6.0,1.0,1.0,6.0,2.0,1.0,0.0,3.0,7.5,1.0
63,4.0,4.0,0.0,1.0,3.0,9.0,2.0,2.0,10.0,3.0,3.0,0.0,7.0,13.0,1.0
