,11,12,21,22,31,51,61,71,81,82,91,92,101,111,121,122
41,3.0,1.0,14.0,5.0,4.0,1.0,0.0,0.0,22.0,5.0,6.0,1.0,5.0,2.0,3.5,1.0
42,2.0,1.0,13.0,4.0,3.0,1.0,0.0,0.0,19.0,5.0,6.0,1.0,4.0,2.0,3.0,1.0
43,2.0,1.0,12.0,3.0,2.5,1.0,0.0,0.0,16.0,4.0,5.0,1.0,4.0,1.0,2.0,0.0
44,1.0,0.0,9.0,3.0,2.0,1.0,0.0,0.0,14.0,3.0,5.0,1.0,3.0,1.0,1.0,0.0
45,1.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,13.0,3.0,5.0,1.0,3.0,1.0,2.0,0.0
46,1.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,11.0,2.0,6.0,1.0,3.0,1.0,1.0,0.0
47,1.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,10.0,2.0,6.0,1.0,3.0,1.0,1.0,0.0
48,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0,9.0,2.0,7.0,1.0,2.0,1.0,1.0,0.0
49,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0
50,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
51,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0
52,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0
53,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
54,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
55,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
57,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
