,11,12,31,32,41,42,51,52,61,111,112,121,122
51,3.5,1.0,6.0,2.0,12.5,2.5,3.0,0.0,0.0,1.0,3.0,6.0,1.0
52,3.0,2.0,4.0,2.0,12.0,2.0,2.0,0.0,0.0,1.0,3.0,6.0,0.0
53,3.0,1.0,4.0,2.0,10.0,2.0,2.0,0.0,0.0,1.0,3.0,5.0,0.0
54,3.0,1.5,4.0,2.0,9.0,1.0,1.5,0.0,0.0,0.0,2.0,5.0,0.0
55,3.0,1.0,3.0,1.5,12.0,2.0,2.0,0.0,0.0,1.0,2.0,6.0,1.0
56,3.0,1.0,4.0,2.0,13.0,2.0,4.0,0.0,0.0,1.0,2.0,7.0,1.0
57,4.0,1.0,5.0,1.0,10.0,2.0,3.0,0.0,0.0,1.0,2.0,7.0,1.0
58,3.0,1.0,4.0,1.0,7.5,1.0,2.0,0.0,0.0,0.0,2.0,7.0,1.0
59,3.0,1.0,3.0,2.0,8.0,1.0,4.0,0.0,0.0,1.0,2.0,9.0,1.0
60,5.0,2.0,4.0,1.5,9.5,2.0,8.0,0.0,0.0,1.0,2.0,9.0,1.0
61,6.0,3.0,7.0,2.0,16.0,3.0,8.0,0.0,0.0,1.0,3.0,9.0,1.0
62,8.0,4.0,10.0,3.0,17.0,4.0,7.0,0.0,0.0,2.0,4.0,11.0,2.0
63,9.5,6.0,12.0,4.0,28.5,7.0,14.0,1.0,0.0,2.0,5.0,13.5,2.0
64,22.0,19.0,18.0,8.0,34.0,11.0,24.0,4.0,0.0,3.0,6.0,22.0,6.0
65,30.0,23.0,32.0,15.0,46.0,22.0,20.0,4.0,0.0,3.0,8.0,27.0,10.0
66,34.0,30.0,47.0,35.0,64.0,37.0,24.0,6.0,3.0,4.0,13.0,33.0,14.0
67,62.0,52.0,65.0,58.0,85.0,63.0,38.0,17.0,2.0,7.0,15.0,43.0,27.0
68,103.0,123.0,109.0,122.0,103.0,88.0,55.0,36.0,3.0,10.0,28.0,57.0,59.0
69,135.0,171.0,147.0,182.0,134.0,131.0,50.0,39.0,4.0,15.0,44.0,71.0,89.0
70,118.0,171.0,163.0,203.0,152.0,158.0,43.0,33.0,6.0,19.0,49.0,84.0,106.0
71,107.0,169.0,151.0,184.0,172.0,194.0,41.0,32.0,7.0,21.0,56.0,96.0,123.0
72,106.0,176.0,165.0,190.0,195.0,221.0,41.0,32.0,9.0,25.0,63.0,108.0,134.0
73,102.0,163.0,163.0,186.0,205.0,237.0,42.0,32.0,11.0,29.0,71.0,114.0,138.0
74,98.0,158.0,168.0,187.0,219.0,251.0,43.0,35.0,17.0,35.0,76.0,116.0,139.0
75,98.0,155.0,167.0,182.0,211.0,240.0,45.0,35.0,23.0,37.0,78.0,116.0,137.0
