,11,21,22,81,82,91,101,121
81,38.0,115.0,53.5,50.0,17.5,34.0,15.0,16.0
82,38.0,117.0,57.0,50.0,17.0,34.0,14.0,13.0
83,40.0,117.0,57.0,51.0,15.0,32.0,12.0,10.0
84,42.0,115.5,58.0,54.5,14.0,29.0,10.5,9.0
85,43.0,120.0,59.0,54.0,14.0,28.0,11.0,8.0
86,44.0,127.0,64.0,52.0,14.0,29.0,11.0,8.0
87,43.0,125.0,64.0,56.0,12.0,28.0,10.0,6.0
88,42.0,126.0,63.0,57.0,13.0,26.0,10.0,6.0
89,41.0,124.0,63.0,57.0,13.0,26.0,10.0,6.0
90,40.0,123.0,66.0,56.0,14.0,28.0,11.0,7.0
91,41.0,125.0,65.0,58.0,14.0,28.0,12.0,6.0
92,40.0,122.0,66.0,57.0,15.0,27.0,10.0,7.0
93,41.0,126.0,68.0,56.0,15.0,29.0,11.0,7.0
94,40.5,129.0,68.0,55.0,14.0,28.0,10.0,7.5
95,38.0,122.5,64.5,59.5,14.0,30.5,9.0,6.0
96,38.0,125.5,67.0,58.0,15.0,29.0,10.0,7.0
97,37.0,124.0,67.0,57.0,15.0,29.0,11.0,7.0
98,37.0,130.0,70.0,57.0,14.0,31.0,11.0,7.0
99,38.0,126.0,71.0,62.0,16.0,31.0,11.0,6.0
100,38.0,129.0,72.0,61.0,17.0,33.0,11.0,7.0
101,40.0,134.0,77.0,63.0,19.0,41.0,11.0,6.0
102,40.5,133.0,80.5,65.0,18.0,45.0,12.5,6.0
103,39.0,125.0,77.5,70.5,24.0,38.0,10.0,6.0
104,40.0,128.0,81.0,68.5,23.0,40.5,11.0,8.0
105,41.0,132.0,77.5,72.5,25.0,41.0,12.0,9.0
106,42.0,133.0,79.0,66.0,19.0,42.0,13.0,8.0
107,41.0,134.0,81.0,66.0,20.0,42.0,13.0,7.0
108,41.0,135.0,79.0,58.0,18.0,38.0,13.0,9.0
109,41.0,143.0,83.0,55.0,16.0,38.0,11.0,9.0
110,41.0,147.5,84.5,52.5,15.0,37.0,12.0,9.0
111,45.0,150.0,84.0,56.0,18.0,38.0,13.0,9.0
112,49.0,152.0,89.0,53.0,17.0,43.0,15.0,11.0
113,46.0,145.0,88.0,50.0,16.0,43.5,15.5,11.0
114,43.0,147.0,89.5,47.0,15.0,41.0,15.0,13.5
115,43.0,146.0,86.0,48.0,15.0,34.0,15.0,12.0
116,42.0,149.0,87.0,45.0,14.0,30.0,17.0,12.0
117,37.5,146.0,80.0,43.0,11.0,23.0,14.5,11.0
118,37.0,143.5,79.5,40.0,10.0,20.0,15.0,9.0
119,31.5,132.5,71.5,42.5,10.0,20.5,13.0,8.0
120,28.0,119.0,69.0,44.0,10.0,22.0,12.0,8.0
121,27.0,106.0,59.0,39.0,10.0,23.0,8.0,6.0
122,21.0,96.5,56.0,38.0,8.0,21.0,8.0,4.0
123,17.0,79.0,44.0,40.0,7.0,16.0,5.0,4.0
124,14.0,77.0,41.0,37.0,6.0,13.0,5.0,4.0
125,13.0,69.0,40.0,38.0,6.0,11.0,5.0,2.0
126,12.0,65.0,37.0,36.0,5.0,11.0,5.0,2.0
127,12.0,61.5,33.0,36.0,6.0,10.0,3.0,1.5
128,11.0,61.0,32.0,37.0,6.0,9.0,3.0,2.0
129,11.0,61.0,33.0,36.0,5.0,9.0,4.0,3.0
130,11.0,58.0,34.0,36.0,5.0,8.0,3.0,2.0
131,12.0,60.0,31.0,38.0,5.0,9.0,3.0,3.0
132,11.0,58.0,32.0,36.0,6.0,8.0,4.0,3.0
133,10.0,56.0,30.0,34.0,5.0,8.0,3.0,2.0
134,9.0,48.0,28.0,59.0,9.0,9.0,4.0,2.0
135,6.0,41.0,22.0,84.0,11.0,11.0,2.0,1.0
136,5.0,37.0,18.0,37.0,6.0,6.0,2.0,1.0
137,4.0,29.0,15.0,23.0,3.0,4.0,2.0,1.0
138,4.0,22.0,13.0,17.0,2.0,3.0,1.0,1.0
139,3.0,19.0,11.0,16.0,2.0,2.0,1.0,1.0
140,2.0,16.0,9.0,14.0,2.0,1.0,1.0,0.0
141,1.0,13.0,7.0,11.0,2.0,1.0,0.0,0.0
142,1.0,10.0,6.0,10.0,1.0,1.0,0.0,0.0
143,1.0,9.0,5.5,9.0,1.0,1.0,0.0,0.0
144,1.0,8.0,5.0,8.0,1.0,1.0,0.0,0.0
145,1.0,6.0,4.0,8.0,1.0,1.0,0.0,0.0
146,1.0,6.0,3.0,8.0,1.0,0.0,0.0,0.0
147,1.0,5.0,3.0,8.0,1.0,0.0,0.0,0.0
148,0.0,4.0,3.0,7.0,1.0,0.0,0.0,0.0
149,0.0,4.0,2.0,7.0,1.0,0.0,0.0,0.0
150,0.0,3.0,2.0,6.0,1.0,0.0,0.0,0.0
151,0.0,3.0,1.5,15.0,2.0,1.0,0.0,0.0
152,1.0,3.0,2.0,11.0,2.0,1.0,0.0,0.0
153,0.0,4.0,2.0,6.0,1.0,1.0,0.0,0.0
154,0.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0
155,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
156,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0
157,1.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0
