,21,31,51,52,61,71,91,92,111,112,113,121,651,652,661,671,672,681,691,701,711,712
30,14.0,7.5,32.5,20.0,11.0,17.5,16.0,12.0,31.0,36.0,27.0,13.0,47.5,22.0,12.0,5.0,2.0,10.0,3.0,35.0,41.0,28.0
31,14.0,6.0,31.0,16.0,9.0,18.0,19.0,13.0,28.0,35.0,23.0,11.0,48.0,21.0,12.0,4.0,2.0,9.0,2.0,31.0,39.0,25.0
32,12.0,7.0,32.0,17.0,9.0,15.0,17.0,12.5,27.0,34.0,23.5,11.0,48.5,23.0,11.0,4.0,2.0,9.0,2.0,32.0,38.0,26.0
33,12.0,6.0,29.0,15.0,8.0,16.0,17.0,13.0,27.0,34.0,23.0,11.0,43.0,19.0,10.0,3.0,2.0,8.0,2.0,30.0,38.0,24.0
34,11.0,6.0,27.0,12.0,6.0,17.0,16.0,11.0,28.0,34.0,22.0,10.0,41.0,17.0,8.0,4.0,2.0,9.0,2.0,31.0,38.0,22.0
35,11.0,5.0,26.0,13.0,6.0,17.0,20.0,14.0,26.0,34.0,22.0,10.0,44.0,19.0,9.0,3.0,3.0,8.0,2.0,29.0,37.0,24.0
36,10.0,4.0,27.0,13.0,5.0,16.0,18.0,13.5,23.0,34.5,21.5,9.0,45.0,21.5,7.0,3.0,2.0,7.0,2.0,23.5,38.0,22.5
37,9.0,4.0,22.0,10.0,5.0,15.0,15.0,11.0,21.0,32.0,18.5,10.0,38.0,17.0,7.0,2.0,1.0,7.0,1.0,21.0,33.0,17.5
38,8.0,3.0,18.0,8.0,4.0,12.0,12.0,8.0,19.0,27.0,15.0,9.0,31.0,12.0,5.0,2.0,1.0,6.0,1.0,19.0,30.0,16.0
39,7.0,4.0,17.0,7.0,4.0,11.5,13.0,9.0,16.0,26.0,13.5,9.0,30.0,11.0,6.0,1.0,1.0,5.0,1.0,17.0,28.0,14.0
40,6.0,2.0,14.0,6.0,3.0,10.0,10.0,6.0,13.0,22.0,10.0,7.0,23.5,8.0,5.0,1.0,1.0,5.0,1.0,14.0,24.0,11.0
41,5.0,2.0,10.0,4.0,2.0,8.0,9.0,5.0,12.0,19.0,8.0,6.0,19.0,5.0,4.0,1.0,1.0,4.0,1.0,13.0,20.0,8.0
42,4.0,2.0,8.0,3.0,1.0,7.0,6.0,2.0,9.0,16.0,6.0,5.0,14.0,4.0,2.0,1.0,0.0,3.0,0.0,9.0,16.0,6.0
43,4.0,1.0,6.0,2.0,1.0,6.0,6.0,3.0,8.0,13.0,5.0,3.0,11.0,3.0,3.0,1.0,0.0,3.0,0.0,8.0,13.0,4.0
44,3.0,1.0,4.0,1.0,1.0,4.0,4.0,2.0,5.0,10.0,3.0,3.0,8.0,2.0,1.0,0.0,0.0,3.0,0.0,5.0,10.0,3.0
45,2.5,1.0,4.0,1.0,1.0,3.0,3.0,1.0,4.0,8.0,2.0,2.0,7.0,2.0,1.0,1.0,0.0,2.0,0.0,5.0,8.0,1.0
46,3.0,1.0,3.0,1.0,0.0,2.0,2.0,1.0,3.0,6.0,1.0,2.0,5.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,7.0,1.0
47,2.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,5.0,1.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,1.0
48,2.0,1.0,1.5,0.0,1.0,3.0,1.0,0.0,2.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0
49,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0
50,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0
51,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0
52,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
53,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
54,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
55,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
56,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
57,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
58,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0
59,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
60,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
61,2.0,1.0,6.0,1.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
62,2.0,0.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0
63,3.0,1.0,9.0,2.0,0.5,1.0,4.0,1.0,1.0,3.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0
64,3.0,1.0,12.0,3.0,1.0,1.0,6.0,2.0,2.0,3.0,0.0,0.0,17.0,5.0,1.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0
65,3.0,1.0,20.0,6.0,2.0,2.0,9.0,3.0,5.0,6.0,0.0,2.0,28.0,9.0,2.0,0.0,0.0,2.0,1.0,5.0,6.0,1.0
66,6.0,1.5,30.0,9.0,3.0,3.0,13.0,5.0,7.0,7.0,1.0,2.0,41.0,15.0,2.0,0.0,0.0,1.0,1.5,8.0,6.0,1.0
67,6.0,2.0,42.0,21.5,4.0,4.0,19.0,10.0,12.5,11.0,1.0,4.5,59.0,31.0,3.0,0.0,0.0,2.0,1.5,14.0,9.0,1.0
68,9.5,4.0,64.5,45.0,7.0,6.0,21.0,12.5,20.5,20.5,5.0,6.0,81.5,54.5,7.0,1.0,1.0,3.5,3.0,23.0,19.0,4.0
69,14.0,6.0,85.0,75.0,9.0,8.0,23.0,16.0,33.0,31.0,14.0,11.0,102.0,87.0,9.0,2.0,1.0,5.0,6.0,36.0,29.0,12.0
70,16.0,8.0,98.0,90.0,12.0,8.0,24.0,20.0,36.0,32.0,18.0,13.0,113.0,109.0,11.0,2.0,1.0,5.0,4.0,41.0,31.0,17.0
