,21,22,81,82,101,102,111
92,30.0,42.0,76.5,40.5,42.0,26.0,28.0
93,32.0,46.0,76.0,43.0,47.0,27.0,31.0
94,33.0,44.0,78.0,42.0,46.0,26.0,31.0
95,32.0,45.0,76.0,41.0,43.0,26.0,29.0
96,33.0,45.0,78.0,44.0,44.0,25.0,31.0
97,32.5,46.5,77.0,42.0,42.0,26.0,30.5
98,33.0,45.0,79.0,43.0,43.0,26.0,33.0
99,32.0,45.0,82.0,46.0,42.0,26.0,36.0
100,34.0,44.0,83.0,47.0,44.0,26.0,35.0
101,35.0,48.0,91.0,52.0,44.0,28.0,35.0
102,33.0,45.0,89.0,51.0,42.0,30.0,36.0
103,35.0,48.0,87.0,50.0,45.0,32.0,40.0
104,33.0,49.0,86.0,50.0,44.0,31.0,42.0
105,32.0,47.0,94.0,56.0,45.0,32.0,46.0
106,29.5,46.0,99.5,58.0,47.0,37.5,47.0
107,28.0,50.0,101.0,62.5,48.0,35.0,50.0
108,27.0,49.0,103.5,61.0,47.0,36.0,52.5
109,26.0,49.0,106.0,63.0,47.0,35.0,54.0
110,25.0,45.0,106.0,65.0,46.0,33.0,60.0
111,24.0,43.0,111.0,72.0,44.0,31.0,56.0
112,24.5,40.5,94.0,68.0,44.0,31.0,55.0
113,24.0,39.0,88.5,69.0,46.0,30.0,58.5
114,22.5,36.5,80.0,56.5,45.0,29.0,57.0
115,24.5,35.5,79.0,47.0,42.0,30.5,56.0
116,25.0,34.5,72.0,40.5,39.5,26.0,52.0
117,26.0,33.0,63.0,31.0,36.0,23.5,43.0
118,28.0,36.0,53.0,27.0,34.0,21.0,36.0
119,31.0,35.0,57.0,28.0,35.0,19.0,35.0
120,27.0,35.0,53.0,24.0,35.0,18.0,31.0
121,28.0,33.0,48.0,23.0,31.0,15.0,28.0
122,22.0,28.5,50.0,24.0,31.0,13.0,24.5
123,22.0,29.5,48.0,26.0,29.0,12.0,22.0
124,20.0,26.0,46.0,26.0,27.0,13.0,21.0
125,19.0,23.0,45.0,25.0,25.0,11.0,22.0
126,18.0,23.0,44.5,23.0,24.0,11.0,19.0
127,17.0,21.0,42.0,22.0,24.0,10.0,19.0
128,16.0,22.0,43.5,22.0,22.0,10.0,19.0
129,16.0,21.0,43.0,21.0,22.0,10.5,18.0
130,16.0,22.0,44.0,22.0,21.5,10.0,20.0
131,16.0,21.0,41.5,21.0,21.0,10.0,19.0
132,16.0,20.0,42.0,21.0,21.0,10.0,17.0
133,15.0,18.0,37.0,21.0,19.5,10.0,14.0
134,12.0,15.0,34.0,18.0,17.0,9.0,13.0
135,11.0,14.0,30.0,17.0,17.0,7.5,12.0
136,9.0,12.0,27.0,15.0,16.0,7.5,11.0
137,8.0,9.0,24.0,14.0,16.0,8.0,9.0
138,6.0,7.0,19.0,12.0,13.0,7.0,8.0
139,5.0,6.0,17.0,11.5,13.0,5.0,6.0
140,5.0,5.0,15.0,10.0,12.0,5.0,4.0
141,4.0,4.0,13.0,9.0,10.0,5.0,4.0
142,3.0,4.0,12.0,8.0,9.0,4.0,3.0
143,3.0,3.0,10.0,7.0,8.0,3.0,2.0
144,2.0,3.0,8.0,6.5,6.5,3.0,2.0
145,2.0,2.0,7.0,6.0,6.0,3.0,2.0
146,1.0,2.0,6.5,6.0,5.0,2.0,1.0
147,1.0,2.0,7.0,6.0,5.5,2.0,1.0
148,1.0,2.0,6.0,5.0,4.5,2.0,1.0
149,1.0,2.0,4.0,4.0,4.0,2.0,1.0
150,2.0,2.0,5.0,4.0,4.0,2.0,1.0
151,1.0,2.0,5.0,4.0,3.0,2.0,1.0
152,2.0,2.0,4.0,3.5,4.0,2.0,0.5
153,2.0,2.0,4.0,3.0,3.0,2.0,1.0
154,2.0,2.0,4.0,3.5,4.0,2.0,1.0
155,2.0,2.0,5.0,4.0,3.0,2.0,1.0
156,2.0,3.0,5.0,3.0,3.0,1.0,1.0
157,3.0,3.0,7.0,4.0,4.0,2.0,1.0
158,4.0,5.0,9.0,6.0,6.0,3.0,1.0
159,6.0,7.0,13.5,8.0,6.0,3.0,2.0
160,8.0,9.0,17.0,10.0,5.0,3.0,2.0
161,11.0,13.0,28.0,14.0,7.0,5.0,2.0
162,14.0,16.0,34.0,19.0,10.0,6.0,4.0
163,22.0,19.0,39.0,20.0,11.0,6.0,7.0
164,28.0,23.0,42.5,22.0,13.0,12.0,8.0
165,34.5,35.0,46.0,21.5,21.0,19.5,10.0
166,39.0,51.5,51.5,24.5,28.5,29.0,11.0
