,11,21,31,51,52,53,61,81,82,91,111,112,113,121
47,3.5,9.0,6.0,10.0,9.0,1.0,3.0,9.0,2.0,2.0,3.0,13.0,3.0,4.0
48,3.0,7.5,5.0,8.5,8.0,1.0,3.0,8.0,2.0,1.0,3.0,11.0,3.0,5.0
49,3.0,7.0,4.0,7.0,7.0,1.0,2.0,7.0,2.0,1.0,2.0,9.0,2.0,3.0
50,2.5,6.0,4.0,7.0,7.0,1.0,3.0,7.0,1.0,1.0,2.0,8.0,2.0,3.0
51,2.0,5.0,4.0,7.0,7.0,1.0,3.0,6.0,1.0,1.0,2.0,7.0,2.0,3.0
52,1.0,4.0,3.0,6.0,6.0,1.0,2.0,5.0,1.0,0.0,2.0,6.5,2.0,3.0
53,1.0,3.0,2.0,4.0,5.0,0.0,2.0,5.0,1.0,1.0,1.0,5.0,2.0,2.0
54,1.0,4.0,2.0,4.0,4.0,0.0,2.0,4.0,1.0,0.0,1.0,5.0,1.0,2.0
55,1.0,4.0,2.0,3.0,4.0,0.0,2.0,4.0,1.0,0.0,1.0,4.0,1.0,2.0
56,1.0,3.0,1.0,4.0,5.0,0.0,2.0,3.5,1.0,0.0,1.0,4.5,1.0,2.0
57,1.0,3.0,2.0,4.0,5.0,0.0,1.0,3.0,1.0,0.0,1.0,3.5,1.0,1.0
58,1.0,3.0,3.0,5.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0
59,2.5,4.0,2.0,6.0,8.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,1.0,1.0
60,4.0,3.0,2.0,7.0,11.0,1.0,1.0,3.0,0.0,1.0,1.0,4.0,1.0,1.0
61,5.0,4.0,2.0,11.0,13.0,1.0,2.0,2.0,0.0,1.0,1.0,5.0,1.0,2.0
62,7.0,4.0,4.0,14.0,15.0,1.0,2.0,4.0,1.0,1.0,2.0,6.0,1.0,2.0
63,11.0,8.0,6.0,21.0,24.0,3.0,3.0,5.0,1.0,1.0,2.0,8.0,2.0,3.0
64,18.0,12.0,10.0,28.0,33.0,6.5,5.0,6.0,1.0,2.0,4.0,8.5,2.0,3.0
65,23.0,11.0,10.0,40.5,49.0,14.5,8.0,7.0,1.0,3.0,3.0,12.0,2.0,3.5
66,27.0,16.0,11.0,46.0,60.0,23.0,10.0,8.0,2.0,4.0,5.0,15.0,4.0,5.0
67,36.0,19.0,15.0,56.0,72.0,35.0,11.0,10.0,3.0,4.0,7.0,18.0,7.0,6.0
68,36.0,28.0,17.0,61.0,84.0,47.0,13.0,11.0,3.0,4.0,12.0,25.0,9.0,6.0
69,33.0,24.0,26.0,71.0,90.0,51.0,18.0,11.0,3.0,5.0,20.0,36.0,20.0,8.0
70,30.0,28.0,30.0,76.0,95.0,55.0,25.0,11.0,3.0,6.0,30.0,42.0,26.0,9.0
71,31.0,27.0,29.0,73.0,94.0,54.0,32.0,11.0,5.0,7.0,28.0,45.0,33.0,11.0
72,33.5,33.0,33.0,84.5,99.0,63.0,35.5,11.0,5.0,8.0,31.0,46.0,34.5,14.0
73,39.0,40.0,36.0,90.0,108.0,74.0,42.0,12.0,6.0,9.0,33.0,53.0,42.0,16.0
74,37.0,42.0,42.0,99.0,111.0,83.0,49.0,11.0,7.0,9.0,39.0,58.0,52.0,22.0
75,41.0,52.0,44.5,94.5,112.5,85.0,50.0,10.0,9.0,9.5,41.0,58.0,50.0,23.5
76,38.0,58.0,45.0,98.0,111.0,85.5,54.0,11.5,11.0,9.0,46.5,55.0,50.0,26.0
77,43.0,60.0,47.0,100.0,115.0,89.0,54.0,10.0,9.0,9.0,47.0,55.0,49.0,26.0
78,41.5,50.0,44.0,99.0,110.0,90.0,52.0,10.0,10.0,11.0,45.0,56.0,50.5,25.5
79,39.0,49.5,42.5,85.0,97.0,81.0,50.5,11.0,9.5,12.0,41.0,56.0,53.0,27.0
80,38.0,48.0,43.0,71.0,83.0,60.0,36.0,12.0,10.0,12.0,43.0,57.0,50.0,28.0
81,39.0,45.5,47.0,67.0,77.5,53.0,32.5,13.5,10.0,12.0,42.0,61.0,49.5,26.0
82,40.0,45.0,45.0,64.0,75.0,52.0,30.0,13.0,10.0,12.0,39.0,59.0,49.0,28.0
83,39.0,41.0,44.0,64.0,68.0,45.0,27.0,14.0,10.0,13.5,37.5,58.0,45.0,27.0
84,38.0,41.0,42.0,65.0,69.0,45.0,25.0,14.0,10.0,13.0,35.0,58.0,43.0,30.0
85,39.0,41.0,46.0,64.0,71.0,45.0,25.0,14.0,11.5,14.0,35.0,61.5,47.0,31.0
86,38.5,42.0,48.0,64.0,67.0,44.0,25.0,14.0,12.0,13.0,36.0,59.5,48.5,30.5
87,41.0,41.0,48.0,65.0,67.5,41.5,25.0,15.0,11.0,14.0,33.0,58.0,48.0,33.0
88,40.0,41.0,47.0,68.0,71.0,44.0,24.0,13.0,12.0,15.0,33.0,59.0,48.0,31.0
89,41.0,45.0,50.0,68.0,71.0,45.0,27.0,15.0,13.0,15.0,34.0,60.0,50.5,33.0
