,21,31,32,41,42,51,52,53,54,55,56,61,71,81,82,111,112,121
37,22.0,33.0,19.0,64.0,33.0,54.5,34.5,48.5,28.0,64.5,31.0,10.0,18.0,18.0,2.0,30.0,25.0,9.0
38,19.0,29.0,18.0,60.0,27.0,50.0,31.0,40.0,21.0,61.0,26.0,9.0,17.0,16.0,2.0,26.0,22.0,8.0
39,18.0,27.0,16.0,57.0,26.0,47.0,28.0,40.0,20.0,56.0,24.0,8.0,17.0,17.0,2.0,26.0,22.0,8.0
40,17.0,24.0,14.0,53.0,24.0,45.0,27.0,37.0,19.0,55.0,23.0,8.0,15.0,14.0,2.0,21.0,20.0,7.0
41,14.0,21.0,12.0,44.0,19.0,38.0,22.0,33.0,15.0,46.0,18.0,6.0,13.0,14.0,2.0,21.0,17.0,6.0
42,12.0,16.0,10.0,39.0,16.0,34.0,21.0,29.0,14.0,41.0,17.0,6.0,12.0,12.0,1.0,16.0,14.0,5.0
43,9.0,14.0,8.0,32.0,13.0,28.0,16.0,25.0,11.0,34.0,13.0,4.0,11.0,12.0,2.0,14.0,12.0,5.0
44,10.0,13.0,7.0,28.0,12.0,25.0,17.0,22.0,11.0,31.0,12.0,4.0,9.0,10.0,1.0,12.0,10.0,5.0
45,8.0,13.0,6.0,26.5,10.0,23.0,13.0,21.0,9.0,28.0,10.0,3.0,7.0,9.0,1.0,11.0,8.0,4.0
46,6.0,11.0,5.0,23.0,8.0,19.0,12.0,18.0,8.0,24.0,8.0,3.0,7.0,7.0,1.0,10.0,8.0,4.0
47,6.0,9.0,6.0,20.5,7.0,18.5,11.5,15.0,7.0,23.0,7.0,2.0,6.0,6.5,1.0,8.0,7.0,3.0
48,5.0,9.0,4.0,18.0,6.0,16.0,9.0,14.0,6.0,19.0,6.0,2.0,5.0,7.0,0.0,7.0,7.0,3.0
49,5.0,7.0,4.0,17.0,5.0,15.0,9.0,13.0,5.0,18.0,5.0,2.0,4.0,6.0,0.0,6.0,5.0,2.0
50,4.0,8.0,3.0,17.0,5.0,15.0,8.0,14.0,5.0,18.0,5.0,2.0,4.0,5.0,1.0,6.0,5.0,2.0
51,4.0,7.0,3.0,15.0,4.0,13.0,8.0,12.0,5.0,17.0,5.0,1.0,4.0,5.0,0.0,5.0,5.5,2.0
52,3.5,6.0,2.0,11.5,3.0,9.0,6.0,8.5,4.0,13.0,4.0,1.0,3.0,4.0,0.0,5.0,4.0,1.0
53,3.0,5.0,2.0,10.0,2.0,9.0,6.0,8.0,4.0,11.0,4.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0
54,2.0,4.0,2.0,9.0,3.0,8.0,6.0,7.0,3.0,10.0,3.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0
55,2.0,4.0,1.0,9.0,3.0,7.0,5.0,7.0,3.0,9.0,3.0,1.0,2.0,3.0,0.0,3.0,3.0,1.0
56,2.0,3.0,2.0,8.0,2.0,7.0,5.0,6.0,3.0,8.5,3.0,1.0,2.0,2.0,0.0,2.5,3.0,1.0
57,2.0,3.0,1.0,8.0,3.0,7.0,5.0,7.0,3.0,9.0,4.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0
