,22,51,52,82,111,112
122,67.0,22.0,6.0,68.0,39.0,26.0
123,62.0,18.0,4.0,66.0,36.0,24.0
124,57.0,17.0,4.0,59.0,34.0,20.0
125,53.0,15.0,3.0,60.5,31.5,18.0
126,50.0,14.0,2.0,55.0,30.0,16.0
127,50.0,14.0,2.0,55.0,29.0,15.0
128,46.0,14.0,2.0,57.0,28.0,15.0
129,44.0,13.0,2.0,51.0,31.0,16.0
130,41.0,12.0,2.0,49.0,29.0,17.0
131,41.0,12.0,2.0,48.0,30.0,18.0
132,40.5,13.0,2.0,49.5,28.0,14.0
133,36.0,11.0,2.0,42.0,28.0,16.0
134,32.0,10.0,1.0,37.0,26.0,13.0
135,31.0,9.0,1.0,37.0,22.0,11.0
136,24.0,7.0,1.0,29.0,19.0,8.0
137,22.0,5.0,1.0,28.0,16.0,7.0
138,19.0,4.0,0.0,24.0,12.0,4.0
139,15.0,4.0,0.0,20.0,11.0,4.0
140,13.5,3.0,0.0,18.0,7.5,2.0
141,11.0,3.0,0.0,14.0,7.0,2.0
142,10.0,2.0,0.0,12.0,6.0,2.0
143,9.0,2.0,0.0,11.0,5.0,2.0
144,7.0,2.0,0.0,11.0,4.0,2.0
145,7.0,1.0,0.0,8.0,3.0,1.0
146,7.0,1.0,0.0,8.0,3.0,1.0
147,6.0,1.0,0.0,7.0,2.0,1.0
148,5.0,1.0,0.0,6.0,2.0,0.0
149,4.0,1.0,0.0,6.0,2.0,0.0
150,4.0,0.0,0.0,5.0,1.0,0.0
151,3.0,0.0,0.0,5.0,1.0,0.0
152,3.0,1.0,0.0,5.0,1.0,0.0
153,2.0,0.0,0.0,4.0,1.0,0.0
154,3.0,1.0,0.0,4.0,1.0,0.0
155,3.0,1.0,0.0,3.0,1.0,0.0
156,3.0,1.0,0.0,2.0,1.0,0.0
157,4.0,1.0,0.0,3.0,1.0,0.0
158,6.0,1.0,0.0,4.0,2.0,0.0
159,7.0,2.0,0.0,5.0,1.0,0.0
160,7.0,5.0,1.0,8.0,2.0,1.0
161,8.0,7.0,1.0,9.0,3.0,1.0
162,13.0,12.0,1.0,11.0,4.0,1.0
163,14.0,11.0,1.0,14.0,6.0,2.0
164,23.0,21.0,3.0,18.0,10.0,4.0
165,36.0,29.0,6.0,25.0,17.0,6.0
166,43.0,37.0,10.0,38.0,20.0,10.0
167,43.5,42.0,13.0,41.0,21.0,9.0
168,52.0,47.5,20.0,49.0,26.5,14.0
