,11,21,22,31,32,41,42,51,52,61,62,71,81,82,101,111,112,121,122
35,6.0,12.0,15.5,19.0,4.0,31.5,12.5,8.0,1.0,9.0,1.0,12.0,32.0,18.5,10.0,10.0,1.0,8.0,1.0
36,6.0,12.0,15.0,19.0,5.0,26.0,11.5,8.0,1.0,8.0,1.0,12.0,29.0,16.0,11.0,8.0,1.0,10.0,1.0
37,4.0,10.0,13.0,18.0,4.0,26.0,10.0,7.0,1.0,7.0,1.0,9.0,24.0,14.0,9.0,8.0,0.5,7.0,0.0
38,3.0,7.0,10.0,15.0,3.0,22.5,9.0,7.0,1.0,7.0,1.0,10.0,28.0,12.0,6.0,6.0,0.0,5.0,0.0
39,3.0,7.5,9.0,13.0,2.0,19.0,8.0,6.0,1.0,6.0,1.0,7.5,20.0,9.0,6.5,7.0,0.0,4.0,0.0
40,3.0,6.0,9.0,12.0,2.0,17.0,6.0,6.0,1.0,4.0,1.0,6.0,17.0,9.0,5.0,5.0,0.0,3.0,0.0
41,2.0,5.0,8.0,10.0,1.0,16.0,6.0,5.0,0.0,5.0,1.0,5.0,13.0,7.0,4.0,5.0,0.0,4.0,0.0
42,2.0,4.0,6.0,9.0,1.0,15.0,5.0,6.0,0.0,4.0,1.0,6.0,12.0,5.0,3.0,3.0,0.0,2.0,0.0
43,1.0,3.0,5.0,6.0,1.0,13.0,5.0,4.0,0.0,3.0,0.0,4.0,9.0,5.0,3.0,4.0,0.0,2.0,0.0
44,1.0,2.0,4.0,6.0,1.0,12.0,4.0,4.0,0.0,4.0,0.0,4.0,8.0,4.0,2.0,3.0,0.0,2.0,0.0
45,1.0,2.0,3.0,5.0,1.0,13.0,4.0,4.0,0.0,3.0,0.0,3.0,7.0,4.0,2.0,3.0,0.0,2.0,0.0
46,1.0,1.0,3.0,4.0,0.0,9.0,3.0,3.0,0.0,2.0,0.0,3.0,7.0,3.0,2.0,3.0,0.0,1.0,0.0
47,0.0,1.5,2.0,3.0,0.0,6.0,2.0,2.0,0.0,1.0,0.0,2.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0
48,0.0,1.0,2.0,3.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,2.0,5.0,2.0,2.0,2.0,0.0,1.0,0.0
49,0.0,1.0,2.0,2.0,0.0,4.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,0.0,1.0,0.0
50,0.0,0.0,1.0,2.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0
51,0.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0
52,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
