,21,22,51,52,61,81,82,83,111,112
66,29.0,9.0,25.0,7.0,20.0,10.0,28.0,10.0,17.0,4.0
67,32.0,17.0,25.0,5.0,27.0,10.0,30.0,10.0,16.0,6.0
68,39.0,20.0,28.0,7.5,32.0,15.0,27.0,11.0,24.5,9.0
69,43.0,22.0,32.5,12.0,42.0,17.0,31.0,13.0,27.5,10.0
70,45.0,24.0,33.0,15.0,40.5,18.0,34.0,16.0,26.0,10.0
71,45.0,25.5,44.0,21.5,48.0,18.0,37.0,19.0,28.0,10.0
72,47.5,28.0,50.0,27.0,65.0,30.0,37.0,20.0,32.0,16.5
73,55.5,35.0,60.0,45.0,78.0,36.0,43.0,27.0,34.5,18.0
74,63.0,44.0,67.0,54.0,68.0,40.0,47.0,31.0,42.0,24.5
75,61.0,45.0,69.0,59.5,78.0,40.5,54.0,37.0,42.0,28.0
76,62.0,49.0,71.0,57.5,77.5,40.5,53.5,41.0,45.0,33.5
77,64.0,47.0,79.0,68.0,88.0,42.0,57.0,44.0,40.0,30.0
78,59.5,45.0,73.5,56.5,74.0,41.0,54.0,37.0,40.0,27.0
79,58.0,39.5,58.0,34.0,59.0,36.5,45.0,30.5,41.5,24.0
80,56.0,34.0,54.5,29.0,54.5,31.0,41.5,27.0,41.0,25.0
81,56.0,35.0,53.0,27.0,57.0,31.5,44.0,28.0,41.0,23.0
82,58.0,36.0,52.0,26.0,52.0,31.0,42.0,28.0,44.0,24.0
83,52.0,33.0,48.0,24.0,45.5,29.5,42.0,26.0,42.0,23.0
84,51.0,30.0,51.0,24.0,44.0,30.0,39.0,27.0,47.0,26.0
85,52.0,31.0,52.0,27.0,42.0,33.0,41.0,27.0,46.0,27.0
86,51.0,33.0,53.0,24.0,43.0,32.0,39.0,28.0,49.0,30.0
87,51.0,29.0,53.0,24.0,45.0,31.0,43.0,28.0,48.0,30.0
88,52.0,31.0,54.0,27.5,42.0,34.0,42.0,28.0,50.5,29.0
89,55.0,33.0,53.0,27.0,45.0,33.0,44.0,29.0,51.0,33.0
90,55.0,33.0,53.0,26.0,43.0,35.0,44.5,28.5,50.0,35.0
91,53.0,32.0,56.0,26.0,45.0,35.0,46.0,30.0,52.0,32.0
92,53.0,31.0,56.0,29.0,44.0,36.0,47.0,30.0,52.0,36.0
93,55.0,33.5,57.0,29.5,44.0,37.0,47.5,32.0,52.5,35.0
94,59.0,37.0,57.0,30.0,45.0,38.0,47.0,31.0,54.0,36.0
95,57.0,35.5,60.0,30.0,48.0,39.5,47.5,33.0,53.5,33.5
96,56.0,37.0,59.0,29.0,46.0,39.0,47.0,30.0,55.0,36.0
97,60.0,37.5,57.5,30.0,50.5,40.0,46.0,33.0,57.0,36.0
98,57.0,36.0,56.0,29.0,49.0,39.0,46.0,32.0,58.0,36.0
99,58.0,35.0,57.0,29.0,47.0,40.0,49.0,34.0,58.0,40.0
100,61.0,41.0,58.0,28.0,50.0,43.0,47.0,35.0,59.0,45.0
101,62.0,40.0,58.0,29.0,54.0,47.0,53.0,38.0,67.0,51.0
102,64.0,47.0,61.0,29.0,50.0,46.0,54.0,38.0,62.0,51.0
103,60.0,43.0,63.0,36.0,49.0,53.0,55.0,40.0,63.0,48.0
104,62.0,41.0,63.0,34.0,56.0,56.0,63.0,46.0,66.0,52.0
105,66.0,45.0,68.0,39.0,57.0,58.0,65.0,44.0,66.0,55.0
106,70.0,47.0,65.0,37.0,56.0,56.0,66.0,44.0,65.0,54.0
107,68.0,47.0,64.0,33.0,57.0,62.0,65.0,44.0,66.0,54.5
108,69.0,47.0,61.5,34.0,60.0,65.0,66.0,44.5,64.5,54.0
109,67.0,46.0,64.0,35.0,67.0,64.0,65.0,44.0,69.0,53.0
110,70.0,50.0,60.5,34.0,67.0,62.5,61.0,42.0,68.0,54.0
111,72.5,51.5,64.5,35.0,66.5,63.0,63.0,43.0,79.0,68.5
112,69.0,50.0,63.0,36.0,69.0,63.0,59.5,41.0,76.0,70.0
113,70.5,52.0,59.0,33.0,66.0,63.0,59.0,40.5,68.5,58.5
114,71.0,51.0,57.0,32.0,61.5,65.0,58.0,41.5,66.0,56.0
115,67.5,49.5,53.0,30.0,57.0,56.0,62.5,44.0,63.5,53.0
116,67.0,49.0,52.0,28.0,51.0,53.5,60.0,40.5,61.0,49.0
117,68.0,50.0,49.0,24.0,47.5,44.5,51.5,34.0,53.0,42.0
118,68.5,49.0,49.0,23.0,46.0,39.0,47.0,34.5,49.0,37.0
119,59.0,37.0,45.0,22.0,42.0,35.0,45.0,34.0,49.0,34.0
120,55.0,35.0,45.0,21.0,39.0,33.0,43.0,29.0,46.0,31.0
121,52.0,31.0,39.0,17.0,37.0,31.0,42.0,26.0,45.0,29.0
122,49.5,30.0,41.0,16.0,33.0,26.0,36.0,24.0,40.0,28.0
123,44.0,25.0,38.0,15.0,29.0,26.0,36.0,24.0,41.0,26.0
124,43.0,24.0,34.0,13.5,28.0,22.5,33.0,21.0,40.0,25.0
125,42.5,23.5,33.5,13.0,25.0,21.5,35.0,20.0,34.0,20.0
126,39.0,20.0,33.0,12.0,23.0,19.0,31.0,21.0,36.0,22.0
127,38.0,20.0,31.0,12.0,23.0,18.5,30.0,18.0,36.0,21.0
128,37.0,18.0,30.0,11.0,23.0,18.0,30.0,18.0,34.0,19.0
129,36.5,18.5,28.0,9.0,21.0,18.0,28.0,16.5,31.0,18.0
130,34.0,16.0,26.5,9.0,21.5,18.0,29.0,17.0,31.5,18.0
131,32.0,15.0,28.0,9.5,21.5,19.0,29.0,16.0,31.0,19.0
132,33.0,16.0,28.5,9.0,20.0,19.5,27.0,15.0,32.0,17.0
133,30.0,14.0,23.0,8.0,17.0,17.5,24.0,13.0,30.0,15.5
134,27.0,12.0,22.0,7.0,14.0,16.0,21.0,13.0,26.0,14.0
135,27.0,12.0,22.0,5.0,13.0,16.0,24.0,13.0,26.0,14.0
136,24.5,10.0,18.5,5.0,13.0,14.0,21.0,11.0,24.0,12.0
137,20.5,8.0,16.0,3.0,10.0,12.0,17.0,9.0,21.0,10.0
138,16.5,7.0,14.0,2.5,8.5,9.0,14.0,8.0,17.5,8.0
139,14.0,6.0,13.0,3.0,7.0,8.0,13.0,7.0,15.0,7.0
140,14.0,6.0,11.0,2.0,6.0,7.0,12.0,6.0,16.0,6.0
141,13.0,5.0,10.0,2.0,5.0,6.0,12.0,6.0,14.0,5.0
142,10.0,4.0,8.5,2.0,4.0,5.0,12.0,6.0,14.0,4.0
143,7.5,4.0,7.5,2.0,3.0,4.0,11.0,6.0,11.0,3.0
144,6.0,4.0,6.0,2.0,3.0,3.0,8.0,4.0,11.0,3.0
145,6.0,2.0,5.0,2.0,2.0,3.0,7.5,4.0,10.0,3.0
146,5.5,3.0,5.0,2.0,2.5,3.0,7.0,3.5,12.0,3.0
147,5.0,2.0,4.5,2.0,2.0,3.0,7.0,3.0,14.0,3.0
148,5.0,2.0,4.0,1.0,1.0,2.0,5.0,2.0,9.0,1.0
149,4.0,2.0,3.5,1.0,1.0,2.0,5.0,2.0,6.0,1.0
