out,in
1408.0,1836.0
1472.0,1680.0
1232.0,1492.0
1104.0,1396.0
1256.0,1236.0
1000.0,1172.0
1064.0,1000.0
1084.0,1148.0
1220.0,1068.0
996.0,1148.0
924.0,1008.0
1016.0,1072.0
944.0,992.0
764.0,892.0
668.0,824.0
648.0,792.0
632.0,684.0
628.0,580.0
580.0,708.0
556.0,608.0
508.0,540.0
424.0,564.0
412.0,484.0
352.0,464.0
240.0,364.0
208.0,268.0
168.0,264.0
160.0,284.0
96.0,228.0
92.0,140.0
84.0,132.0
104.0,112.0
76.0,124.0
64.0,92.0
68.0,64.0
96.0,88.0
84.0,84.0
68.0,72.0
48.0,84.0
84.0,100.0
92.0,164.0
84.0,196.0
148.0,188.0
144.0,200.0
212.0,356.0
216.0,360.0
432.0,384.0
628.0,552.0
832.0,624.0
868.0,580.0
1552.0,708.0
2072.0,1248.0
2828.0,1904.0
3008.0,2016.0
3284.0,2252.0
3476.0,2744.0
3288.0,3172.0
3248.0,3236.0
3300.0,3020.0
3112.0,2372.0
3052.0,2216.0
2404.0,2304.0
1924.0,1842.0
1828.0,1652.0
1856.0,1564.0
1708.0,1611.0
1712.0,1504.0
1712.0,1452.0
1584.0,1716.0
1532.0,1496.0
1520.0,1496.0
1668.0,1432.0
1536.0,1736.0
1740.0,1680.0
1954.0,1660.0
1800.0,1684.0
1856.0,1900.0
1824.0,1760.0
2006.0,1710.0
1880.0,1748.0
1908.0,1832.0
1740.0,2072.0
2112.0,2028.0
2100.0,2176.0
2164.0,2512.0
2320.0,2372.0
2008.0,2256.0
2240.0,2560.0
2360.0,2684.0
2584.0,2948.0
2428.0,3064.0
2632.0,3372.0
2656.0,3344.0
2923.0,3691.0
2900.0,3864.0
3076.0,3832.0
2492.0,3972.0
2268.0,3704.0
1772.0,3012.0
1700.0,2720.0
1428.0,2432.0
1464.0,2008.0
1308.0,1880.0
1404.0,1756.0
1216.0,1360.0
1148.0,1348.0
1040.0,1208.0
980.0,1108.0
764.0,1128.0
828.0,1060.0
828.0,820.0
968.0,816.0
748.0,812.0
604.0,700.0
680.0,668.0
680.0,836.0
572.0,612.0
692.0,568.0
616.0,544.0
436.0,464.0
344.0,416.0
224.0,340.0
212.0,268.0
168.0,176.0
104.0,172.0
188.0,132.0
76.0,132.0
72.0,116.0
96.0,128.0
80.0,112.0
84.0,116.0
92.0,84.0
60.0,60.0
32.0,108.0
60.0,88.0
52.0,92.0
88.0,120.0
128.0,112.0
140.0,168.0
168.0,260.0
220.0,316.0
228.0,372.0
436.0,372.0
512.0,488.0
824.0,504.0
988.0,616.0
1536.0,648.0
2204.0,1224.0
2812.0,1852.0
3108.0,2060.0
3532.0,2260.0
3296.0,2604.0
3412.0,3160.0
3276.0,2724.0
3320.0,2904.0
3220.0,2700.0
3104.0,2484.0
2792.0,2436.0
2288.0,2000.0
2068.0,1752.0
2076.0,1764.0
2112.0,1860.0
1732.0,1520.0
1816.0,1696.0
1896.0,1824.0
1896.0,1644.0
1948.0,1752.0
1796.0,1632.0
1680.0,1796.0
1920.0,1972.0
1872.0,1692.0
1944.0,1944.0
2044.0,1960.0
1816.0,1912.0
2075.0,1865.0
2212.0,1980.0
2068.0,1872.0
2040.0,2156.0
2012.0,2336.0
2136.0,2244.0
2332.0,2564.0
2304.0,2476.0
2364.0,2324.0
2480.0,2668.0
2408.0,2888.0
2324.0,3204.0
2516.0,3272.0
2780.0,3728.0
2588.0,3688.0
3048.0,3856.0
2772.0,4096.0
3140.0,3852.0
2980.0,3760.0
2376.0,3812.0
2000.0,3468.0
1916.0,3084.0
1600.0,2588.0
1424.0,2020.0
1344.0,1652.0
1348.0,1648.0
1304.0,1884.0
1060.0,1740.0
1296.0,1192.0
1008.0,1132.0
788.0,1000.0
808.0,1012.0
792.0,844.0
892.0,972.0
988.0,900.0
844.0,892.0
852.0,872.0
800.0,876.0
724.0,872.0
640.0,688.0
548.0,624.0
496.0,544.0
408.0,500.0
268.0,384.0
212.0,260.0
145.0,261.0
104.0,224.0
104.0,124.0
128.0,176.0
104.0,96.0
104.0,156.0
68.0,120.0
60.0,56.0
60.0,96.0
