out,in
182.82432432432432,269.39639639639637
157.3963963963964,202.018018018018
125.40990990990991,148.59459459459458
100.02252252252252,136.82432432432432
76.62162162162163,109.38288288288288
64.82882882882883,79.9054054054054
53.427927927927925,65.0
44.18468468468468,60.17567567567568
35.171171171171174,52.82432432432432
30.684684684684683,49.468468468468465
27.824324324324323,46.03603603603604
24.563063063063062,41.57657657657658
21.306306306306308,40.085585585585584
21.41891891891892,44.5990990990991
22.46846846846847,44.085585585585584
25.05855855855856,49.986486486486484
24.423423423423422,62.5
33.148648648648646,78.94594594594595
39.33783783783784,103.95045045045045
49.166666666666664,111.25675675675676
62.234234234234236,116.70270270270271
101.51801801801801,163.6216216216216
142.50900900900902,189.5045045045045
174.38738738738738,213.8963963963964
276.13513513513516,281.6936936936937
510.64864864864865,436.97297297297297
696.1441441441441,521.1351351351351
731.9864864864865,596.527027027027
824.563063063063,754.7792792792793
1086.2477477477478,935.490990990991
1314.2027027027027,1052.8063063063064
1369.4504504504505,1197.9954954954956
1392.481981981982,1235.463963963964
1522.9864864864865,1313.1801801801803
1643.2387387387387,1418.0945945945946
1676.126126126126,1464.2792792792793
1549.918918918919,1351.5495495495495
1539.6711711711712,1311.1891891891892
1580.8693693693695,1312.2522522522522
1504.3468468468468,1288.7297297297298
1342.7522522522522,1170.2927927927929
1285.7927927927929,1141.837837837838
1278.8333333333333,1076.5945945945946
1217.0900900900901,1056.4054054054054
1125.8918918918919,994.2207207207207
1113.837837837838,1018.2792792792793
1125.4504504504505,1023.6396396396397
1133.1801801801803,1045.8603603603603
1085.0675675675675,1042.0855855855855
1125.5765765765766,1093.7567567567567
1142.5855855855855,1099.8423423423424
1158.1351351351352,1112.8693693693695
1129.9504504504505,1138.6531531531532
1169.5495495495495,1153.8333333333333
1168.6891891891892,1145.536036036036
1190.2522522522522,1181.7927927927929
1171.7747747747749,1172.1891891891892
1227.4414414414414,1227.7792792792793
1270.2207207207207,1241.3423423423424
1254.2972972972973,1293.7072072072071
1200.1531531531532,1308.8423423423424
1252.3693693693695,1449.8873873873874
1327.5900900900901,1468.3108108108108
1336.617117117117,1523.1981981981983
1314.382882882883,1544.2612612612613
1359.2657657657658,1619.7477477477478
1393.8468468468468,1601.873873873874
1406.1801801801803,1606.081081081081
1423.337837837838,1637.3513513513512
1482.5855855855855,1690.5900900900901
1491.644144144144,1621.6486486486488
1481.2792792792793,1575.1216216216217
1452.7657657657658,1501.036036036036
1467.117117117117,1510.4414414414414
1384.563063063063,1377.436936936937
1327.2297297297298,1263.9144144144145
1218.8873873873874,1127.463963963964
1166.4144144144145,1065.9864864864865
1052.1666666666667,942.3288288288288
937.8198198198198,848.2612612612612
817.2972972972973,761.0900900900901
763.9954954954954,713.4099099099099
700.3828828828829,657.1441441441441
616.1351351351351,621.8738738738739
553.2747747747748,583.9954954954954
514.2117117117117,578.5360360360361
472.86036036036035,547.063063063063
432.54954954954957,513.1261261261261
406.509009009009,506.3378378378378
401.6081081081081,521.8018018018018
369.95045045045043,501.2117117117117
338.97297297297297,447.72522522522524
317.14414414414415,468.1981981981982
303.8243243243243,440.1171171171171
264.23423423423424,380.9864864864865
223.35135135135135,365.23873873873873
193.7027027027027,326.2882882882883
164.4189189189189,250.43243243243242
131.65315315315314,190.45495495495496
105.61711711711712,181.4144144144144
89.03603603603604,142.56306306306305
71.14414414414415,100.35585585585585
57.48198198198198,83.28828828828829
48.554054054054056,73.0945945945946
41.74324324324324,62.06306306306306
37.054054054054056,59.56306306306306
34.48198198198198,55.450450450450454
30.47747747747748,55.193693693693696
27.166666666666668,51.5045045045045
27.09009009009009,58.252252252252255
26.396396396396398,59.08108108108108
30.135135135135137,66.31531531531532
27.207207207207208,89.13063063063063
36.84234234234234,111.07657657657657
42.914414414414416,113.3018018018018
55.509009009009006,121.83783783783784
65.33783783783784,139.27477477477478
105.5945945945946,173.25225225225225
142.8108108108108,184.6891891891892
168.74324324324326,214.5855855855856
254.01351351351352,261.4234234234234
474.93693693693695,392.5900900900901
630.7522522522522,457.6126126126126
631.8423423423424,505.6666666666667
707.3513513513514,632.9639639639639
953.1846846846847,806.3918918918919
1166.837837837838,916.5450450450451
1206.117117117117,1029.7297297297298
1237.9774774774776,1068.2297297297298
1350.3153153153153,1195.2162162162163
1498.7792792792793,1278.7522522522522
1499.873873873874,1316.1801801801803
1413.2207207207207,1209.1801801801803
1390.9864864864865,1192.4864864864865
1427.490990990991,1233.5855855855855
1363.7882882882882,1235.3648648648648
1235.2612612612613,1129.3693693693695
1195.7837837837837,1122.5405405405406
1196.6576576576576,1087.8963963963963
1158.9954954954956,1101.990990990991
1086.144144144144,1058.7162162162163
1112.4954954954956,1097.509009009009
1145.2432432432433,1106.8783783783783
1166.936936936937,1130.009009009009
1129.0045045045044,1130.6891891891892
1173.0405405405406,1208.144144144144
1208.382882882883,1206.0585585585586
1224.9774774774776,1218.617117117117
1226.3063063063064,1219.1036036036037
1245.9279279279278,1265.2162162162163
1277.9234234234234,1266.936936936937
1257.6981981981983,1272.981981981982
1245.9594594594594,1283.081081081081
1292.954954954955,1325.990990990991
1348.900900900901,1330.7747747747749
1358.7342342342342,1369.7972972972973
1323.0585585585586,1413.8018018018017
1343.7567567567567,1501.6666666666667
1360.0945945945946,1488.3243243243244
1379.2882882882882,1497.5855855855855
1361.3153153153153,1516.045045045045
1397.6891891891892,1573.3018018018017
1432.7522522522522,1547.7612612612613
1436.7522522522522,1528.2657657657658
1441.6846846846847,1505.9594594594594
1459.6036036036037,1582.8603603603603
1479.162162162162,1472.8108108108108
1472.527027027027,1432.7297297297298
1421.0585585585586,1355.3513513513512
1397.4954954954956,1359.5495495495495
1309.472972972973,1231.8513513513512
1245.5855855855855,1116.4774774774776
1113.882882882883,1006.1621621621622
1033.3423423423424,951.0900900900901
924.8828828828829,849.3108108108108
839.1936936936937,773.472972972973
748.7072072072073,693.3603603603603
685.981981981982,656.3648648648649
624.1621621621622,596.4234234234234
574.4144144144144,574.3468468468468
522.7162162162163,534.1261261261261
499.5900900900901,529.7657657657658
467.35585585585585,506.22072072072075
426.14864864864865,485.10360360360363
402.463963963964,482.47747747747746
391.1216216216216,486.55855855855856
385.22522522522524,498.7927927927928
355.7567567567568,484.2522522522523
349.7882882882883,515.8063063063063
346.7477477477477,510.0765765765766
319.47747747747746,475.5405405405405
294.68468468468467,485.009009009009
267.84234234234236,463.26126126126127
242.12612612612614,392.7162162162162
215.9009009009009,315.009009009009
190.25225225225225,299.26126126126127
164.38738738738738,247.7927927927928
137.6891891891892,201.27027027027026
116.62612612612612,168.83333333333334
96.8108108108108,148.04954954954954
81.00450450450451,128.94594594594594
65.17117117117117,113.9054054054054
55.76126126126126,99.38288288288288
50.31981981981982,88.95045045045045
44.97747747747748,83.56306306306307
39.95945945945946,86.56756756756756
39.8018018018018,70.92792792792793
37.25675675675676,65.38288288288288
34.927927927927925,68.93243243243244
37.0990990990991,69.60810810810811
40.72072072072072,63.53603603603604
39.71621621621622,67.24774774774775
41.549549549549546,75.8963963963964
53.9009009009009,80.57657657657657
67.33783783783784,75.96846846846847
70.00450450450451,83.13513513513513
88.85585585585585,96.30630630630631
133.86936936936937,117.15765765765765
185.01351351351352,126.44594594594595
192.14414414414415,141.72522522522522
194.7117117117117,166.42792792792793
236.42342342342343,201.6216216216216
320.8738738738739,238.8108108108108
347.1666666666667,279.51801801801804
368.6801801801802,321.1666666666667
453.7837837837838,388.0765765765766
573.7612612612612,446.6306306306306
639.2927927927927,524.1711711711712
666.7387387387388,562.8828828828829
731.018018018018,651.427927927928
858.2792792792793,707.2702702702703
932.6261261261261,794.7387387387388
910.081081081081,815.481981981982
984.9324324324324,911.1576576576576
1053.1891891891892,992.0900900900901
1091.5675675675675,1037.7432432432433
1057.1216216216217,1032.5
1122.837837837838,1092.2027027027027
1177.3513513513512,1126.6306306306305
1215.7792792792793,1137.1351351351352
1186.837837837838,1146.018018018018
1242.3468468468468,1191.6936936936936
1278.6576576576576,1180.2477477477478
1293.400900900901,1183.8243243243244
1281.436936936937,1167.7792792792793
1310.162162162162,1199.7612612612613
1340.882882882883,1201.3423423423424
1357.2747747747749,1223.9279279279278
1355.3693693693695,1231.1981981981983
1363.518018018018,1252.5855855855855
1368.2072072072071,1242.2072072072071
1369.882882882883,1252.1891891891892
1354.8153153153153,1254.2477477477478
1344.4864864864865,1268.7657657657658
1341.6576576576576,1264.8108108108108
1322.373873873874,1263.2207207207207
1285.7162162162163,1256.3963963963963
1282.7882882882882,1274.0900900900901
1275.2837837837837,1265.7612612612613
1272.617117117117,1274.6351351351352
1248.8018018018017,1268.6396396396397
1239.2792792792793,1304.8513513513512
1200.8873873873874,1265.2792792792793
1138.4099099099099,1205.2747747747749
1072.873873873874,1175.536036036036
1025.9864864864865,1138.9954954954956
928.472972972973,1031.018018018018
864.972972972973,953.027027027027
774.3513513513514,853.4054054054054
707.2297297297297,800.2657657657658
663.3153153153153,742.3018018018018
622.1846846846847,710.2252252252252
596.8873873873874,693.0990990990991
576.1261261261261,673.2837837837837
548.1216216216217,642.3513513513514
535.481981981982,629.7432432432432
500.48198198198196,605.581081081081
478.10360360360363,585.5
466.509009009009,549.7702702702703
446.06306306306305,534.3468468468468
424.68918918918916,525.6396396396397
410.9099099099099,522.1486486486486
401.6126126126126,546.6081081081081
382.7027027027027,539.6486486486486
377.4234234234234,525.1171171171171
367.52252252252254,531.5675675675676
353.22972972972974,537.2207207207207
329.963963963964,569.3108108108108
303.0405405405405,516.9234234234234
281.1666666666667,439.15315315315314
248.52702702702703,380.43693693693695
226.02252252252254,370.05405405405406
196.0810810810811,311.990990990991
172.42342342342343,262.5855855855856
148.71621621621622,215.44144144144144
123.80630630630631,181.95045045045046
105.49321266968326,155.60180995475113
89.89140271493213,135.07239819004525
76.3529411764706,117.00452488687783
66.14932126696833,104.75565610859728
57.91891891891892,95.57207207207207
49.833333333333336,94.65315315315316
43.085585585585584,74.04954954954955
41.77927927927928,69.06756756756756
35.945945945945944,63.68018018018018
34.56306306306306,62.788288288288285
33.306306306306304,55.18468468468468
29.31081081081081,48.707207207207205
30.68018018018018,48.51801801801802
33.5990990990991,49.4054054054054
38.932432432432435,49.527027027027025
38.972972972972975,46.17567567567568
44.44144144144144,56.14414414414414
64.46396396396396,61.45495495495496
91.90990990990991,69.40090090090091
103.43243243243244,81.55855855855856
99.84684684684684,103.68018018018019
110.42342342342343,112.74774774774775
133.6081081081081,110.6036036036036
151.3918918918919,129.76126126126127
155.7972972972973,152.45045045045046
207.55405405405406,177.95495495495496
254.44594594594594,197.0045045045045
322.52702702702703,232.00900900900902
360.1801801801802,247.82432432432432
470.43693693693695,316.2027027027027
570.7567567567568,362.4099099099099
637.1711711711712,419.8243243243243
656.936936936937,451.22072072072075
755.5765765765766,551.9954954954954
840.3468468468468,604.0405405405405
907.9459459459459,644.1846846846847
906.418918918919,683.2972972972973
962.8063063063063,766.8738738738739
1011.1171171171171,828.7207207207207
1067.5855855855855,874.4234234234234
1075.4864864864865,929.6666666666666
1125.7162162162163,1000.436936936937
1170.5675675675675,1009.9504504504505
1209.6801801801803,1060.0
1181.8063063063064,1075.8918918918919
1241.4144144144145,1130.4099099099099
1302.7027027027027,1143.7657657657658
